d,c,w,CA/FA ,Dmax,ratio of aggregate to binder,BFS,fly ash,Silicon,superplasticizer,age,w/b,fc
100,275,190,1.93,31.5,2.92,20,30,0,10.9,7,0.35,33.8
200,151.31,108,2.57,40,14.35,0,0,0,1.82,28,0.71,18.29
100,180,175,1.49,31.5,4.98,20,30,0,6,60,0.48,39.9
150,175,209,1.52,19,11.05,0,0,0,0,28,1.19,13
150,280,105,1.23,16,5.78,0,0,20,28.5,7,0.3,58
200,64.85,108,2.57,80,13.32,60,0,0,1.95,28,0.67,16.55
100,235,175,1.61,31.5,5.44,0,30,0,5.6,14,0.52,22.4
100,135,171,2.11,31.5,3.83,0,70,0,0,28,0.38,22.601
150,395,197.5,1.5,20,4.57,0,0,0,0,28,0.5,40.01
150,300,93,1.86,25,3.57,0,40,0,6,3,0.19,28
150,245,225,1.52,19,5.99,18,0,0,0,14,0.76,22.9
100,480,144,1.83,25,2.83,0,10,10,12,3,0.24,74.8227
100,420,144,1.83,25,2.83,20,0,10,12,3,0.24,81.7021
150,160,200,1.44,16,4.28,60,0,0,0,3,0.5,14.4
150,405,135,1.23,16,4.13,0,0,10,18.3,180,0.3,96.8
100,270,175,1.43,25,4.74,8,21,0,4.56,360,0.46,60
150,174.89,108,2.7,40,12.28,0,0,0,2.1,28,0.62,25.25
100,120,160,2,10,4.5,0,70,0,0,180,0.4,47.05
100,308.93,185.41,1.22,31.5,6.04,0,0,0,7.72,90,0.6,46.03
150,210,251,1.52,19,3.2,56,0,0,0,14,0.52,26.3
150,320,188,1.5,20,5.9,0,0,0,0,28,0.59,43.7
150,464,162,1.63,20,2.86,0,20,0,6.72,28,0.28,78.7
150,382.5,225,1.23,16,3.6,0,0,15,2.2,7,0.5,53
150,180,225,1.44,16,3.56,60,0,0,0,7,0.5,20.8
150,320,188,1.5,20,5.9,0,0,0,1.92,3,0.59,25.8
150,330,133,1.91,20,3.69,19,6,7,9.3,28,0.27,86.8
150,210,251,1.52,19,3.2,55,0,0,0,28,0.52,34.5
100,410,180,1.47,31.5,4.39,0,0,0,7.5,90,0.44,57.1
150,315,105,1.23,16,5.78,0,0,10,28.5,28,0.3,83.5
100,318.79,159.4,1.88,31.5,2.9,0,43,0,11.16,28,0.29,54.67
100,410,180,1.47,31.5,4.39,0,0,0,7.5,180,0.44,60.7
150,197.5,197.5,1.5,20,4.57,40,10,0,0,7,0.5,18.4748
100,420,144,1.83,25,2.83,0,20,10,12,7,0.24,74.1489
150,280,105,1.44,16,5.79,20,0,0,11.55,360,0.3,86.9
150,245,230,1.52,19,4.91,30,0,0,0,63,0.66,39.2
150,210,214,1.52,19,9,0,0,0,0,365,1.02,19.8
150,350,140,1.44,16,5.54,0,0,0,5.25,90,0.4,71.3
100,200,156,2,10,4.5,0,50,0,0,28,0.39,49.6
150,288,188,1.5,20,5.9,0,0,10,1.92,3,0.59,29.4
150,297.5,210,1.23,16,4.99,0,0,15,1.42,180,0.6,51
100,360,162,1.83,25,2.83,30,0,10,12,56,0.27,98.1499
100,135,171,2.11,31.5,3.83,0,70,0,0,14,0.38,13.528
150,405,135,1.23,16,4.13,0,0,10,18.3,7,0.3,90.4
150,350,140,1.23,16,5.52,0,0,0,8.54,180,0.4,72.7
150,405,270,1.23,16,3.34,0,0,10,1.1,3,0.6,23.7
100,472,172,1.35,12.5,3.75,0,0,0,0.7,3,0.36,40.5
150,405,270,1.23,16,3.34,0,0,10,1.1,28,0.6,41.6
100,318.79,159.4,1.63,31.5,3.49,0,35,0,9.57,28,0.32,54.6
150,80,120,1.44,16,4.79,80,0,0,4.8,90,0.3,76.2
100,210,172,1.62,31.5,4.09,20,30,0,8,14,0.4,36.8
150,245,250,1.52,19,3.13,50,0,0,0,63,0.51,48.5
100,385,154,1.33,25,4.7,0,0,0,3.465,90,0.4,78.5
100,360,126,1.83,25,2.83,0,30,10,12,56,0.21,104.711
300,151.31,108,2.57,80,14.35,0,0,0,1.82,28,0.71,15.4
150,255,191,1.78,20,7.66,0,0,0,0,28,0.75,12.9
150,464,162,1.63,20,2.86,0,20,0,6.72,14,0.28,73.5
150,80,160,1.44,16,4.53,80,0,0,3.6,3,0.4,22.2
150,140,105,1.44,16,5.74,60,0,0,7,90,0.3,81.2
150,280,105,1.23,16,5.78,0,0,20,28.5,28,0.3,85.9
150,400,200,1.44,16,4.34,0,0,0,0.4,28,0.5,51.4
100,250,170,1.7,31.5,5.73,18,3,0,6.8,14,0.54,41.3
100,200,186,1.43,31.5,7.62,10,10,0,4.1,90,0.74,26.1
150,80,200,1.44,16,4.26,80,0,0,0,360,0.5,34.3
150,84.28,108,3,40,10.02,60,0,0,2.53,28,0.51,30.32
150,400,165,1.57,20,4.24,0,7,0,4.71,5,0.39,42.6
150,400,120,1.44,16,4.88,0,0,0,16,7,0.3,73.8
150,320,188,1.5,20,5.9,0,0,0,0,3,0.59,27
150,280,210,1.23,16,4.99,0,0,20,1.42,28,0.6,46.7
150,245,230,1.52,19,4.91,30,0,0,0,119,0.66,42.5
150,350,175,1.23,16,5.25,0,0,0,2.85,180,0.5,61.6
100,437,176,2.46,20,4.12,0,0,0,0,28,0.4,40.25
100,235,178,1.46,31.5,6.39,10,10,0,4.9,28,0.6,32.3
150,210,219,1.52,19,7.2,18,0,0,0,7,0.86,16.7
150,105.34,108,3,40,10.02,50,0,0,2.53,28,0.51,30.51
150,140,105,1.44,16,5.74,60,0,0,7,28,0.3,73.3
150,315,140,1.23,16,5.52,0,0,10,8.54,3,0.4,45.5
100,73.21,108,2.7,40,11.69,60,0,0,2.2,28,0.59,25.14
100,225,198,2.11,31.5,3.83,0,50,0,0,7,0.44,16.289
100,180,175,1.49,31.5,4.98,20,30,0,6,28,0.48,34.8
150,160,160,1.44,16,4.55,60,0,0,2.4,90,0.4,75.1
250,105.34,108,3,40,10.02,50,0,0,2.53,28,0.51,27.02
100,400,136,2,10,4.5,0,0,0,5.6,180,0.34,78.53
100,360,144,1.83,25,2.83,30,0,10,12,3,0.24,75.411
150,475.3,242.41,2.23,25,3.3,0,0,0,0,28,0.51,29.36
100,311.5,155.75,1.61,25,3.89,0,30,0,4.005,180,0.35,87.9
150,340,120,1.23,16,4.86,0,0,15,22.76,7,0.3,65.1
150,350,140,1.23,16,5.52,0,0,0,8.54,7,0.4,51.7
150,175,218,1.52,19,7.36,30,0,0,0,14,0.87,17.4
100,215,173,1.72,31.5,5.05,0,40,0,5.7,7,0.48,17.7
150,400,188,1.63,20,4.52,0,0,0,2,7,0.47,45.1
100,180,175,1.49,31.5,4.98,20,30,0,6,7,0.48,18.2
150,400,160,1.44,16,4.61,0,0,0,6,7,0.4,53.7
150,340,200,1.23,16,4.33,0,0,15,3.25,3,0.5,31.3
100,285,175,1.55,31.5,4.55,9,21,0,6.6,14,0.43,42
150,392,180,1.5,20,3.46,15,11,0,0,28,0.34,57.9514
150,245,279,1.52,19,2.1,61,0,0,0,180,0.44,55.2
150,280,278,1.52,19,2.06,56,0,0,0,14,0.43,37
100,275,190,1.93,31.5,2.92,20,30,0,10.9,90,0.35,55.2
200,206.1,108,3,80,10.27,0,0,0,2.47,28,0.52,27.97
150,280,224,1.52,19,6.44,0,0,0,0,63,0.8,28.3
150,250,219,1.52,19,7.37,0,0,0,0,119,0.88,23.7
100,270,178,2.04,31.5,3.79,0,40,0,7.6,60,0.4,47.5
150,240,200,1.44,16,4.3,40,0,0,0,28,0.5,51.6
150,360,200,1.23,16,4.33,0,0,10,3.25,180,0.5,62.5
100,360,144,1.83,25,2.83,0,30,10,12,3,0.24,71.284
100,288.4,156.56,1.53,25,4.32,0,30,0,3.708,180,0.38,78.2
150,280,210,1.23,16,4.99,0,0,20,1.42,500,0.6,49.6
100,120.42,156.1,1.33,25,4,70,0,3,3.122,28,0.35,56.6
150,360,160,1.23,16,4.59,0,0,10,4.88,180,0.4,91.7
100,285,173,1.72,31.5,4.35,0,30,0,7.2,28,0.43,47.4
300,91.51,108,2.7,80,11.69,50,0,0,2.2,28,0.59,19.29
100,420,126,1.83,25,2.83,0,20,10,12,3,0.21,73.5106
100,120,116,2,10,4.5,0,70,0,0,365,0.29,65.5
150,340,120,1.91,20,3.35,18,10,7,12.6,28,0.23,85.5
100,340,175,1.39,31.5,5.48,0,0,0,5.8,28,0.51,40.6
150,340,240,1.23,16,4.06,0,0,15,1.63,180,0.6,51
150,405,180,1.23,16,3.87,0,0,10,5.49,500,0.4,87.4
250,81.06,108,2.57,40,13.32,50,0,0,1.95,28,0.67,17.05
150,210,251,1.52,19,3.2,56,0,0,0,365,0.52,50.7
150,320,160,1.44,16,4.59,20,0,0,4,7,0.4,51.5
100,352,190,1.5,25,3.49,0,30,0,2,28,0.38,62.85
150,350,105,1.23,16,5.78,0,0,0,28.5,28,0.3,64.4
100,200,186,1.43,31.5,7.62,10,10,0,4.1,28,0.74,21.6
100,404.7,161.88,1.28,25,4.21,0,0,5,4.26,90,0.38,78.2
150,250,219,1.52,19,7.37,0,0,0,0,28,0.88,22.7
150,175,238,1.52,19,4.11,56,0,0,0,365,0.6,40.9
150,405,180,1.23,16,3.87,0,0,10,5.49,28,0.4,85
100,236,172,1.35,12.5,3.75,50,0,0,0.75,56,0.36,65.23
150,118.5,197.5,1.5,20,4.57,70,0,0,0,28,0.5,38.8158
300,128.11,108,2.7,80,11.69,30,0,0,2.2,28,0.59,20.19
100,568,180,1.86,25,2.91,0,0,0,0,28,0.32,42.98
150,350,105,1.44,16,5.8,0,0,0,12.25,90,0.3,83.9
100,480,126,1.83,25,2.83,0,10,10,12,7,0.21,80.4019
150,360,135,1.44,16,4.13,20,0,0,14.4,360,0.3,95.9
150,270,180,1.44,16,3.84,40,0,0,2.25,360,0.4,84.6
100,212,177,1.58,31.5,5.65,15,20,0,5.2,180,0.54,45.3
100,129,161,2,20,6,60,0,0,0,90,0.5,61.6632
250,91.51,108,2.7,80,11.69,50,0,0,2.2,28,0.59,20.66
100,318.79,159.4,1.44,31.5,4.26,0,24,0,9.57,90,0.38,57.12
150,210,224,1.52,19,5.93,30,0,0,0,119,0.75,35.8
100,180,175,1.49,31.5,4.98,20,30,0,6,14,0.48,25.8
150,210,261,1.52,19,2.69,61,0,0,0,119,0.48,42.4
250,91.51,108,2.7,40,11.69,50,0,0,2.2,28,0.59,22.32
100,300,170,1.53,31.5,4.83,0,20,0,6.5,60,0.45,53.1
100,251,190,1.5,25,3.5,0,50,0,2,28,0.38,56
150,237,197.5,1.5,20,4.57,40,0,0,0,28,0.5,45
150,297.5,175,1.23,16,5.25,0,0,15,2.85,180,0.5,66.5
100,200,120,2,10,4.5,0,50,0,0,7,0.3,49.6
100,300,126,1.83,25,2.83,0,40,10,12,3,0.21,69.8876
150,245,263,1.52,19,2.56,56,0,0,0,63,0.47,48.1
100,120,112,2,10,4.5,0,70,0,5.6,28,0.28,43.1
100,225,198,2.11,31.5,3.83,0,50,0,0,14,0.44,20.441
150,280,278,1.52,19,2.06,56,0,0,0,365,0.43,67.2
150,90,135,1.44,16,4.07,80,0,0,8.1,360,0.3,78.4
150,210,261,1.52,19,2.69,61,0,0,0,63,0.48,37.8
150,400,160,1.23,16,4.59,0,0,0,4.88,28,0.4,65.3
150,245,225,1.52,19,5.99,18,0,0,0,63,0.76,30.3
150,450,225,1.23,16,3.6,0,0,0,2.2,180,0.5,64.1
150,180,180,1.44,16,3.82,60,0,0,2.25,90,0.4,73.4
150,360,135,1.44,16,4.13,20,0,0,14.4,3,0.3,58
100,456.87,164.85,1.38,25,3.81,0,0,3,4.239,180,0.35,85.2
100,270,175,1.43,25,4.74,8,21,0,4.56,90,0.46,46.9
100,150,178,1.52,31.5,6.19,20,30,0,5,14,0.59,19.2
150,470,94,1.5,20,3.17,0,0,15,9.4,28,0.17,65.18
100,64,161,2,20,6,80,0,0,0,14,0.5,25.5852
100,120,112,2,10,4.5,0,70,0,5.6,365,0.28,75.1
150,360,240,1.23,16,4.06,0,0,10,1.63,3,0.6,20.6
150,380,190,1.5,20,4.82,0,0,0,1.9,28,0.5,34.7
100,178,279,1.33,16,10.19,0,0,0,0,28,1.57,27.33
100,329.23,131.88,1.88,31.5,2.9,0,43,0,11.52,7,0.23,39.14
100,120,116,2,10,4.5,0,70,0,0,7,0.29,20.09
100,131.4,153.3,1.44,25,3.98,50,20,0,2.628,90,0.35,64.7
100,472,172,1.35,12.5,3.75,0,0,0,0.7,28,0.36,69.73
150,382.5,135,1.23,16,4.13,0,0,15,18.3,28,0.3,91
150,450,225,1.44,16,3.62,0,0,0,0,28,0.5,48.7
150,280,140,1.23,16,5.52,0,0,20,8.54,7,0.4,62.2
100,360,162,1.83,25,2.83,0,30,10,12,56,0.27,102.383
150,382.5,270,1.23,16,3.34,0,0,15,1.1,500,0.6,43.2
100,120,160,2,10,4.5,0,70,0,0,90,0.4,41.8
100,260,175,1.52,31.5,5.76,0,20,0,5.2,60,0.54,36.7
150,405,135,1.23,16,4.13,0,0,10,18.3,28,0.3,90.4
200,211.76,108,3,80,9.97,0,0,0,2.53,28,0.51,27.97
150,350,105,1.86,25,3.57,30,0,0,6,3,0.21,41.7
100,300,126,1.83,25,2.83,0,40,10,12,56,0.21,103.82
200,128.11,108,2.7,80,11.69,30,0,0,2.2,28,0.59,23.38
150,461,175,2.45,16,3.83,0,0,0,0,28,0.38,25.03
100,310,140,1.66,20,4.66,15,7.5,0,4.7,28,0.35,68.5
150,245,239,1.52,19,3.88,42,0,0,0,14,0.57,32.4
150,175,230,1.52,19,4.9,50,0,0,0,119,0.66,36.5
150,360,225,1.23,16,3.6,0,0,20,2.2,180,0.5,59
100,308.93,185.41,1.22,31.5,6.04,0,0,0,7.72,28,0.6,37.81
100,120,116,2,10,4.5,0,70,0,0,3,0.29,19.8
150,245,218,1.52,19,7.55,0,0,0,0,14,0.89,17.9
150,450,135,1.23,16,4.13,0,0,0,18.3,180,0.3,91.3
150,245,225,1.52,19,5.99,18,0,0,0,28,0.76,29
150,80,200,1.44,16,4.26,80,0,0,0,7,0.5,18.7
150,128.11,108,2.7,40,11.69,30,0,0,2.2,28,0.59,25.35
150,270,180,1.44,16,3.84,40,0,0,2.25,3,0.4,35.9
150,197.5,197.5,1.5,20,4.57,20,30,0,0,7,0.5,20.0663
100,392,196,1.05,12.5,4.53,0,0,0,0,7,0.5,30.67
150,521,261,2.84,16,2.86,0,0,0,0,28,0.5,36.8
200,206.1,108,3,40,10.27,0,0,0,2.47,28,0.52,29.26
100,420,162,1.83,25,2.83,20,0,10,12,7,0.27,82.8723
100,205,193,1.48,31.5,7.35,0,20,0,4,14,0.76,17.4
100,200,172,2,10,4.5,0,50,0,5.6,3,0.43,19.11
250,360,195,1.35,20,4.05,0,16,0,0,215,0.45,36.09
150,80,120,1.44,16,4.79,80,0,0,4.8,360,0.3,82.9
100,250,170,1.7,31.5,5.73,18,3,0,6.8,180,0.54,58.6
150,245,279,1.52,19,2.1,61,0,0,0,14,0.44,29.2
100,170,175,1.56,31.5,6.62,0,40,0,4.5,28,0.62,23.3
100,135,198,2.11,31.5,3.83,0,70,0,0,7,0.44,7.967
150,180,135,1.44,16,4.09,60,0,0,9,90,0.3,92.5
150,360,180,1.44,16,3.87,20,0,0,3.6,28,0.4,73.5
100,480,144,1.83,25,2.83,0,10,10,12,56,0.24,105.366
200,105.34,108,3,80,10.02,50,0,0,2.53,28,0.51,27.26
150,175,218,1.52,19,7.36,30,0,0,0,63,0.87,26.8
150,180,225,1.44,16,3.56,60,0,0,0,3,0.5,13
250,97.27,108,2.57,40,13.32,40,0,0,1.95,28,0.67,17.21
150,175,223,1.52,19,5.99,40,0,0,0,119,0.75,34.8
100,329.23,131.88,1.63,31.5,3.49,0,35,0,9.88,90,0.26,66.56
150,320,120,1.44,16,4.85,20,0,0,14,7,0.3,69
150,210,224,1.52,19,5.93,30,0,0,0,7,0.75,21.2
100,235,178,1.46,31.5,6.39,10,10,0,4.9,60,0.6,35.8
150,340,200,1.23,16,4.33,0,0,15,3.25,7,0.5,44.1
100,235,175,1.61,31.5,5.44,0,30,0,5.6,60,0.52,32.9
100,308.93,185.41,1.44,31.5,4.26,0,24,0,9.27,28,0.45,37.87
150,350,210,1.23,16,4.99,0,0,0,1.42,3,0.6,20.7
150,280,247,1.52,19,3.24,42,0,0,0,365,0.51,64.5
300,109.81,108,2.7,80,11.69,40,0,0,2.2,28,0.59,19.86
200,275,160,1.5,20,7.15,0,0,0,0,28,0.58,23.18
150,360,160,1.23,16,4.59,0,0,10,4.88,28,0.4,88
150,280,175,1.44,16,5.26,20,0,0,0,28,0.5,57
100,133.5,155.75,1.44,25,3.93,70,0,0,2.225,180,0.35,68.6
150,175,218,1.52,19,7.36,30,0,0,0,365,0.87,30.5
150,276.5,197.5,1.5,20,4.57,30,0,0,0,7,0.5,22.7632
100,121.5,153.9,1.33,25,4.42,50,20,0,2.43,28,0.38,51.3
150,461.95,194,1.7,20,3.89,0,0,0,0,28,0.42,34.73
100,270,178,2.04,31.5,3.79,0,40,0,7.6,14,0.4,37.5
150,406,162,1.63,20,2.86,0,20,10,6.72,7,0.28,64.7
150,70,105,1.44,16,5.71,80,0,0,5.6,90,0.3,70.6
150,450,135,1.44,16,4.14,0,0,0,18,28,0.3,80.3
150,245,239,1.52,19,3.88,42,0,0,0,119,0.57,51.7
150,382.5,180,1.23,16,3.87,0,0,15,5.49,500,0.4,91.5
150,197.5,197.5,1.5,20,4.57,40,10,0,0,14,0.5,28.4483
100,300,170,1.85,31.5,4.71,19,0,0,8.3,7,0.46,41
150,360,160,1.23,16,4.59,0,0,10,4.88,3,0.4,53.3
200,109.81,108,2.7,80,11.69,40,0,0,2.2,28,0.59,22.96
100,210,172,1.62,31.5,4.09,20,30,0,8,7,0.4,26
150,400,120,1.44,16,4.88,0,0,0,16,360,0.3,89.9
200,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,21.72
150,140,140,1.44,16,5.47,60,0,0,1.75,28,0.4,61.8
150,320,160,1.23,16,4.59,0,0,20,4.88,3,0.4,44.9
150,360,120,1.23,16,4.86,0,0,10,22.76,28,0.3,86.7
150,140,140,1.44,16,5.47,60,0,0,1.75,360,0.4,79.1
150,90,225,1.44,16,3.53,80,0,0,0,90,0.5,35
100,480,126,1.83,25,2.83,10,0,10,12,3,0.21,78.89
300,128.11,108,2.7,80,11.69,30,0,0,2.2,28,0.59,20.19
150,382.5,135,1.23,16,4.13,0,0,15,18.3,7,0.3,91
150,530,238,2.57,16,2.9,0,0,0,0,28,0.45,43.1
100,420,126,1.83,25,2.83,0,20,10,12,56,0.21,109.255
150,340,240,1.23,16,4.06,0,0,15,1.63,28,0.6,49.6
150,140,175,1.44,16,5.21,60,0,0,0,7,0.5,28.7
100,410,180,1.47,31.5,4.39,0,0,0,7.5,28,0.44,54.3
100,190,185,1.52,31.5,6.93,0,30,0,4.4,180,0.69,32.1
150,320,160,1.44,16,4.59,20,0,0,4,28,0.4,66
100,480,144,1.83,25,2.83,0,10,10,12,28,0.24,95.721
150,315,210,1.23,16,4.99,0,0,10,1.42,28,0.6,48.5
150,175,248,1.52,19,3.49,61,0,0,0,14,0.55,18.5
150,350,175,1.44,16,5.27,0,0,0,0.7,28,0.5,53.6
100,275,190,1.93,31.5,2.92,20,30,0,10.9,60,0.35,55.3
100,480,144,1.83,25,2.83,10,0,10,12,28,0.24,93.0733
100,420,126,1.83,25,2.83,20,0,10,12,3,0.21,82.6596
100,300,162,1.83,25,2.83,40,0,10,12,3,0.27,76.9663
150,90,135,1.44,16,4.07,80,0,0,8.1,7,0.3,50.2
150,210,240,1.52,19,3.87,50,0,0,0,28,0.57,34.9
150,300,225,1.52,19,5.94,0,0,0,0,63,0.75,29.8
100,329.23,131.88,1.44,31.5,4.26,0,24,0,9.88,7,0.3,47.46
100,170,180,1.44,31.5,7.19,15,20,0,4.3,90,0.68,27.4
150,270,225,1.44,16,3.58,40,0,0,0,3,0.5,16.7
300,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,18.89
100,462,190,1.5,25,3.5,0,0,8,2,7,0.38,60.15
150,160,200,1.44,16,4.28,60,0,0,0,90,0.5,49.6
150,360,270,1.23,16,3.34,0,0,20,1.1,28,0.6,42.1
150,280,140,1.44,16,5.51,20,0,0,4.2,28,0.4,65.8
200,105.34,108,3,40,10.02,50,0,0,2.53,28,0.51,28.88
150,360,180,1.23,16,3.87,0,0,20,5.49,7,0.4,78.4
150,70,140,1.44,16,5.46,80,0,0,2.8,7,0.4,37.3
100,308.93,185.41,1.63,31.5,3.49,0,35,0,9.27,7,0.39,33.01
100,420,144,1.83,25,2.83,20,0,10,12,7,0.24,83.5106
150,340,160,1.23,16,4.59,0,0,15,4.88,3,0.4,49
150,486,214,2.57,16,2.69,0,15,0,2.11,28,0.37,50.7
150,270,180,1.44,16,3.84,40,0,0,2.25,28,0.4,66.4
150,210,240,1.52,19,3.87,50,0,0,0,7,0.57,24.4
100,327,190,1.5,25,3.5,15,15,5,2,7,0.38,57
150,210,175,1.44,16,5.23,40,0,0,0,360,0.5,71.7
150,350,232,1.52,19,4.92,0,0,0,0,119,0.66,36.5
250,126.41,108,3,40,10.02,40,0,0,2.53,28,0.51,27.13
150,300,225,1.52,19,5.94,0,0,0,0,28,0.75,28.9
150,210,214,1.52,19,9,0,0,0,0,7,1.02,12.4
100,300,144,1.83,25,2.83,0,40,10,12,56,0.24,98.6517
150,280,236,1.52,19,4.15,30,0,0,0,119,0.59,49.1
150,320,200,1.23,16,4.33,0,0,20,3.25,3,0.5,28.1
100,275,190,1.93,31.5,2.92,20,30,0,10.9,14,0.35,44.8
100,151.2,185,1.58,31.5,5.14,37,21,0,4.65,28,0.52,37.49
150,350,140,1.23,16,5.52,0,0,0,8.54,3,0.4,41
100,275,190,1.93,31.5,2.92,20,30,0,10.9,28,0.35,49.5
100,340,175,1.39,31.5,5.48,0,0,0,5.8,90,0.51,43.4
200,147.48,108,3,40,10.02,30,0,0,2.53,28,0.51,29.25
150,245,230,1.52,19,4.91,30,0,0,0,365,0.66,46.9
100,215,173,1.72,31.5,5.05,0,40,0,5.7,60,0.48,34.6
150,210,240,1.52,19,3.87,50,0,0,0,180,0.57,50.5
150,360,120,1.23,16,4.86,0,0,10,22.76,180,0.3,92.1
