d,c,w,CA/FA ,Dmax,ratio of aggregate to binder,BFS,fly ash,Silicon,superplasticizer,age,w/b,fc
100,270,178,2.04,31.5,3.79,0,40,0,7.6,180,0.4,59.3
150,210,261,1.52,19,2.69,61,0,0,0,7,0.48,22.2
100,194,162,2,20,6.01,40,0,0,0,28,0.5,45.8522
100,325,170,1.64,31.5,4.45,10,10,0,8.1,90,0.42,56.7
150,280,105,1.44,16,5.79,20,0,0,11.55,90,0.3,86.8
150,360,180,1.44,16,3.87,20,0,0,3.6,360,0.4,86.6
150,315,175,1.23,16,5.25,0,0,10,2.85,28,0.5,61.8
250,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,20.19
150,486,214,2.57,16,2.69,0,15,0,5.94,28,0.37,53.1
100,427,190,1.5,25,3.5,0,0,15,2,28,0.38,73
100,129,161,2,20,6,60,0,0,0,1,0.5,2.87474
100,200,120,2,10,4.5,0,50,0,0,3,0.3,36.9
100,250,170,1.7,31.5,5.73,18,3,0,6.8,90,0.54,54.2
150,382.5,225,1.23,16,3.6,0,0,15,2.2,500,0.5,59.5
100,200,132,2,10,4.5,0,50,0,5.6,1,0.33,5.62
150,400,200,1.44,16,4.34,0,0,0,0.4,90,0.5,56.8
150,280,263,1.52,19,2.56,50,0,0,0,14,0.47,38.1
200,380,190,1.5,20,4.82,0,0,0,1.9,28,0.5,33.2
150,405,225,1.23,16,3.6,0,0,10,2.2,180,0.5,60.3
150,245,263,1.52,19,2.56,56,0,0,0,14,0.47,32.4
100,360,172,1.69,31.5,4.86,0,0,0,8,7,0.48,47.4
150,320,240,1.23,16,4.06,0,0,20,1.63,180,0.6,50.5
100,205,193,1.48,31.5,7.35,0,20,0,4,90,0.76,26.9
150,280,231,1.52,19,5.08,18,0,0,0,365,0.68,41.1
100,150,178,1.52,31.5,6.19,20,30,0,5,28,0.59,25.7
150,315,175,1.23,16,5.25,0,0,10,2.85,500,0.5,65.9
200,417,200,1.63,20,4.28,0,0,0,0,28,0.48,31.18
150,237,197.5,1.5,20,4.57,40,0,0,0,14,0.5,33.5526
100,406,180,1.86,25,4.47,0,0,0,0,28,0.44,27.2
150,270,135,1.44,16,4.11,40,0,0,11.7,90,0.3,91.4
150,360,270,1.23,16,3.34,0,0,20,1.1,7,0.6,42.1
150,400,240,1.23,16,4.06,0,0,0,1.63,28,0.6,41.6
150,70,140,1.44,16,5.46,80,0,0,2.8,90,0.4,58.9
150,147.48,108,3,40,10.02,30,0,0,2.53,28,0.51,30.73
100,300,126,1.83,25,2.83,0,40,10,12,28,0.21,97.5281
150,210,105,1.44,16,5.76,40,0,0,8.75,7,0.3,64.2
100,340,184,1.86,20,5.52,0,0,0,0,28,0.54,35.7
150,175,238,1.52,19,4.11,56,0,0,0,14,0.6,20.1
150,400,112,1.86,25,3.57,20,0,0,6,3,0.22,45.2
150,70,175,1.44,16,5.19,80,0,0,0,360,0.5,39.1
150,350,105,1.86,25,3.57,0,30,0,6,7,0.21,41.4
150,320,240,1.23,16,4.06,0,0,20,1.63,3,0.6,21.8
250,91.51,108,2.7,80,11.69,50,0,0,2.2,28,0.59,20.66
150,175,209,1.52,19,11.05,0,0,0,0,180,1.19,14.5
100,235,175,1.61,31.5,5.44,0,30,0,5.6,180,0.52,42.5
150,406,162,1.63,20,2.86,0,20,10,6.72,3,0.28,53
150,350,140,1.44,16,5.54,0,0,0,5.25,7,0.4,54.8
100,308.93,185.41,1.44,31.5,4.26,0,24,0,9.27,90,0.45,50.1
150,382.5,225,1.23,16,3.6,0,0,15,2.2,180,0.5,59.5
150,280,278,1.52,19,2.06,56,0,0,0,119,0.43,59.9
100,131.4,153.3,1.44,25,3.98,50,20,0,2.628,28,0.35,55.7
100,236,172,1.35,12.5,3.75,50,0,0,0.75,3,0.36,23.3
150,360,195,1.35,20,4.05,0,16,0,0,114,0.45,50
100,400,136,2,10,4.5,0,0,0,5.6,28,0.34,62.66
100,360,126,1.83,25,2.83,0,30,10,12,7,0.21,74.6773
150,70,105,1.44,16,5.71,80,0,0,5.6,28,0.3,62.7
100,502,190,1.5,25,3.5,0,0,0,2,7,0.38,54.05
100,447.45,164.85,1.38,25,3.81,0,0,5,5.181,90,0.35,78.7
100,285,175,1.55,31.5,4.55,9,21,0,6.6,7,0.43,32.8
150,160,160,1.44,16,4.55,60,0,0,2.4,3,0.4,26
100,360,126,1.83,25,2.83,30,0,10,12,56,0.21,103.441
100,300,188,1.43,31.5,6.23,0,0,0,5.1,28,0.63,33.6
100,270,178,2.04,31.5,3.79,0,40,0,7.6,28,0.4,43.3
150,300,225,1.52,19,5.94,0,0,0,0,365,0.75,33.1
200,128.11,108,2.7,40,11.69,30,0,0,2.2,28,0.59,24.38
150,320,120,1.23,16,4.86,0,0,20,22.76,28,0.3,94
200,183.05,108,2.7,80,11.69,0,0,0,2.2,28,0.59,23.01
100,235,178,1.46,31.5,6.39,10,10,0,4.9,7,0.6,19.5
200,161.2,108,2.57,80,13.4,0,0,0,1.95,28,0.67,17.36
100,251,190,1.5,25,3.5,0,50,0,2,7,0.38,45.9
100,300,188,1.43,31.5,6.23,0,0,0,5.1,14,0.63,27.8
150,382.5,135,1.23,16,4.13,0,0,15,18.3,3,0.3,57
150,70,105,1.44,16,5.71,80,0,0,5.6,360,0.3,74.7
100,420,162,1.83,25,2.83,0,20,10,12,28,0.27,94.8936
100,330,188,2.2,31.5,2.91,0,40,0,11,14,0.34,43.9
150,151.31,108,2.57,40,14.35,0,0,0,1.82,28,0.71,18.85
100,456.87,164.85,1.38,25,3.81,0,0,3,4.239,90,0.35,81
150,245,239,1.52,19,3.88,42,0,0,0,7,0.57,29.6
150,360,180,1.23,16,3.87,0,0,20,5.49,3,0.4,44.4
100,150,178,1.52,31.5,6.19,20,30,0,5,60,0.59,29.9
150,360,240,1.23,16,4.06,0,0,10,1.63,180,0.6,48.1
150,80,200,1.44,16,4.26,80,0,0,0,3,0.5,8.4
200,113.49,108,2.57,40,13.32,30,0,0,1.95,28,0.67,18.34
100,270,175,1.43,25,4.74,0,29,0,4.56,120,0.46,43
150,320,120,1.23,16,4.86,0,0,20,22.76,7,0.3,69.8
150,320,120,1.44,16,4.85,20,0,0,14,90,0.3,90.1
100,285,173,1.72,31.5,4.35,0,30,0,7.2,90,0.43,55.2
100,352,190,1.5,25,3.49,30,0,0,2,28,0.38,62.35
150,592,237,2.84,16,2.52,0,0,0,0,28,0.4,44.7
100,461,175,2.45,16,3.83,0,0,0,0,28,0.38,27.33
150,175,209,1.52,19,11.05,0,0,0,0,63,1.19,13.3
150,280,210,1.23,16,4.99,0,0,20,1.42,7,0.6,31.2
150,175,215,1.52,19,8.86,18,0,0,0,180,1.01,21.4
150,461,203,2.22,16,2.94,0,15,0,5.64,28,0.37,55.2
100,360,126,1.83,25,2.83,30,0,10,12,28,0.21,96.7249
150,280,140,1.23,16,5.52,0,0,20,8.54,28,0.4,87.9
100,270,175,1.43,25,4.74,8,21,0,4.56,180,0.46,53.6
100,380,190,1.5,20,4.82,0,0,0,1.9,28,0.5,36.5
300,81.06,108,2.57,40,13.32,50,0,0,1.95,28,0.67,16.31
250,128.11,108,2.7,80,11.69,30,0,0,2.2,28,0.59,21.55
100,354,172,1.43,12.5,3.66,0,25,0,0.75,56,0.36,66.46
100,340,175,1.39,31.5,5.48,0,0,0,5.8,7,0.51,29.1
150,280,263,1.52,19,2.56,50,0,0,0,365,0.47,66.7
150,450,180,1.23,16,3.87,0,0,0,5.49,3,0.4,41
150,160,160,1.44,16,4.55,60,0,0,2.4,28,0.4,61.1
100,325,162,2,20,5.99,0,0,0,0,14,0.5,39.8152
100,120,172,2,10,4.5,0,70,0,5.6,7,0.43,12.05
150,405,135,1.23,16,4.13,0,0,10,18.3,3,0.3,55.8
100,236,172,1.35,12.5,3.75,50,0,0,0.75,28,0.36,58.6
100,189,185,1.58,31.5,4.88,30,20,0,3.65,56,0.49,42.56
300,97.27,108,2.57,80,13.32,40,0,0,1.95,28,0.67,15.31
150,276.5,197.5,1.5,20,4.57,30,0,0,0,3,0.5,13.1579
150,197.5,197.5,1.5,20,4.57,30,20,0,0,14,0.5,27.5995
100,487,206,2.13,20,3.61,0,0,0,0,28,0.42,48.66
100,120,112,2,10,4.5,0,70,0,5.6,7,0.28,24.86
150,175,218,1.52,19,7.36,30,0,0,0,7,0.87,16.4
150,210,175,1.44,16,5.23,40,0,0,0,90,0.5,65.9
150,178,279,1.33,16,10.19,0,0,0,0,28,1.57,25.03
100,420,162,1.83,25,2.83,0,20,10,12,56,0.27,105.957
150,400,239,1.52,19,4.15,0,0,0,0,14,0.6,32.6
100,360,126,1.83,25,2.83,0,30,10,12,3,0.21,72.8713
150,400,160,1.23,16,4.59,0,0,0,4.88,180,0.4,75.8
100,135,198,2.11,31.5,3.83,0,70,0,0,28,0.44,11.98
150,180,225,1.44,16,3.56,60,0,0,0,28,0.5,39.5
150,315,175,1.23,16,5.25,0,0,10,2.85,7,0.5,45.6
100,480,162,1.83,25,2.83,0,10,10,12,56,0.27,104.137
100,456.87,164.85,1.38,25,3.81,0,0,3,4.239,28,0.35,73.2
150,175,218,1.52,19,7.36,30,0,0,0,28,0.87,23.5
150,175,230,1.52,19,4.9,50,0,0,0,63,0.66,33.1
150,383,180,1.5,20,4.15,0,13,0,0,28,0.41,53.1838
100,410,180,1.47,31.5,4.39,0,0,0,7.5,60,0.44,58.4
150,197.5,197.5,1.5,20,4.57,20,30,0,0,28,0.5,39.8011
250,113.49,108,2.57,80,13.32,30,0,0,1.95,28,0.67,16.25
100,420,126,1.83,25,2.83,20,0,10,12,28,0.21,104.468
100,420,126,1.83,25,2.83,20,0,10,12,56,0.21,111.809
100,212,177,1.58,31.5,5.65,15,20,0,5.2,14,0.54,25.3
100,200,172,2,10,4.5,0,50,0,5.6,28,0.43,41.15
100,300,170,1.85,31.5,4.71,19,0,0,8.3,90,0.46,56.2
200,84.28,108,3,80,10.02,60,0,0,2.53,28,0.51,26.56
100,329.23,131.88,1.44,31.5,4.26,0,24,0,9.88,28,0.3,56.62
150,297.5,140,1.23,16,5.52,0,0,15,8.54,7,0.4,66.1
100,300,162,1.83,25,2.83,40,0,10,12,28,0.27,91.7978
250,211.76,108,3,80,9.97,0,0,0,2.53,28,0.51,25.61
150,280,247,1.52,19,3.24,42,0,0,0,7,0.51,33.8
300,109.81,108,2.7,80,11.69,40,0,0,2.2,28,0.59,19.86
150,210,261,1.52,19,2.69,61,0,0,0,365,0.48,47.9
100,270,178,2.04,31.5,3.79,0,40,0,7.6,90,0.4,50.6
150,360,200,1.23,16,4.33,0,0,10,3.25,3,0.5,34.3
100,400,136,2,10,4.5,0,0,0,5.6,365,0.34,80.21
150,405,135,1.23,16,4.13,0,0,10,18.3,500,0.3,96.8
150,245,218,1.52,19,7.55,0,0,0,0,28,0.89,22.6
100,212,177,1.58,31.5,5.65,15,20,0,5.2,28,0.54,33.2
100,120,160,2,10,4.5,0,70,0,0,7,0.4,13.5
100,271.35,153.9,1.33,25,4.42,0,30,3,3.645,180,0.38,79.5
150,464,162,1.63,20,2.86,0,20,0,0,28,0.28,80.9
100,174.89,108,2.7,40,12.28,0,0,0,2.1,28,0.62,26.34
150,315,105,1.23,16,5.78,0,0,10,28.5,3,0.3,46.2
150,400,188,1.63,20,4.52,0,0,0,0,14,0.47,51.2
100,200,120,2,10,4.5,0,50,0,0,28,0.3,70.3
150,245,225,1.52,19,5.99,18,0,0,0,365,0.76,36.2
100,329.23,131.88,1.88,31.5,2.9,0,43,0,11.52,90,0.23,53.95
100,285,175,1.55,31.5,4.55,9,21,0,6.6,60,0.43,51.6
150,297.5,175,1.23,16,5.25,0,0,15,2.85,28,0.5,63.6
150,360,225,1.23,16,3.6,0,0,20,2.2,3,0.5,29.7
150,400,160,1.44,16,4.61,0,0,0,6,90,0.4,67.9
150,450,225,1.44,16,3.62,0,0,0,0,7,0.5,36.6
150,382.5,270,1.23,16,3.34,0,0,15,1.1,7,0.6,43.5
150,70,175,1.44,16,5.19,80,0,0,0,90,0.5,38.1
100,420,162,1.83,25,2.83,0,20,10,12,3,0.27,72.1277
150,210,224,1.52,19,5.93,30,0,0,0,180,0.75,37.1
150,350,105,1.44,16,5.8,0,0,0,12.25,7,0.3,69.4
100,245,198,1.44,31.5,7.71,0,0,0,4.2,14,0.81,19.8
150,210,231,1.52,19,4.73,40,0,0,0,28,0.64,34
100,124.5,157.7,1.28,25,4.28,70,0,0,2.075,28,0.38,52.5
100,194,162,2,20,6.01,40,0,0,0,7,0.5,25.0103
200,462,185,2.34,31.5,3.79,0,0,0,0,28,0.4,40.1
100,200,120,2,10,4.5,0,50,0,0,90,0.3,83.7
100,340,175,1.98,31.5,3.46,0,30,0,9,7,0.36,42.2
150,245,218,1.52,19,7.55,0,0,0,0,180,0.89,25.6
100,330,188,2.2,31.5,2.91,0,40,0,11,7,0.34,35
150,395,197.5,1.5,20,4.57,0,0,0,0,7,0.5,25.48
150,395,197.5,1.5,20,4.57,0,0,0,0,3,0.5,18.69
150,450,270,1.23,16,3.34,0,0,0,1.1,3,0.6,20.5
100,260,175,1.52,31.5,5.76,0,20,0,5.2,28,0.54,32.6
100,260,175,1.52,31.5,5.76,0,20,0,5.2,90,0.54,40.3
150,280,247,1.52,19,3.24,42,0,0,0,180,0.51,64.5
100,250,170,1.7,31.5,5.73,18,3,0,6.8,60,0.54,50.8
150,320,200,1.23,16,4.33,0,0,20,3.25,28,0.5,58
100,360,162,1.83,25,2.83,30,0,10,12,28,0.27,92.0688
100,323,172,1.35,12.5,4.12,0,25,0,0.75,56,0.4,59.35
150,400,200,1.44,16,4.34,0,0,0,0.4,360,0.5,64.1
150,197.5,197.5,1.5,20,4.57,30,20,0,0,7,0.5,17.0955
150,175,248,1.52,19,3.49,61,0,0,0,180,0.55,38.7
150,315,210,1.23,16,4.99,0,0,10,1.42,180,0.6,50.7
100,340,175,1.39,31.5,5.48,0,0,0,5.8,180,0.51,43.8
100,120,112,2,10,4.5,0,70,0,5.6,1,0.28,1.76
150,360,135,1.23,16,4.13,0,0,20,18.3,28,0.3,101
100,480,126,1.83,25,2.83,10,0,10,12,56,0.21,104.137
150,80,160,1.44,16,4.53,80,0,0,3.6,28,0.4,53.1
100,194,162,2,20,6.01,40,0,0,0,14,0.5,33.922
150,280,278,1.52,19,2.06,56,0,0,0,180,0.43,67.2
100,120,112,2,10,4.5,0,70,0,5.6,90,0.28,63.4
150,344.7,180,1.5,20,4.15,9,13,0,0,28,0.41,56.0973
150,350,175,1.23,16,5.25,0,0,0,2.85,7,0.5,44.1
100,360,162,1.83,25,2.83,0,30,10,12,3,0.27,70.2254
100,480,126,1.83,25,2.83,10,0,10,12,7,0.21,84.8463
150,245,279,1.52,19,2.1,61,0,0,0,119,0.44,49
150,400,188,1.63,20,4.52,0,0,0,0,7,0.47,45.6
250,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,20.19
150,160,120,1.44,16,4.81,60,0,0,6,3,0.3,32.3
100,288.4,156.56,1.53,25,4.32,0,30,0,3.708,90,0.38,72.6
100,480,162,1.83,25,2.83,0,10,10,12,7,0.27,77.6596
150,175,223,1.52,19,5.99,40,0,0,0,180,0.75,38.4
150,450,135,1.23,16,4.13,0,0,0,18.3,3,0.3,53.1
100,200,132,2,10,4.5,0,50,0,5.6,7,0.33,40.75
150,250,219,1.52,19,7.37,0,0,0,0,365,0.88,25.9
150,280,140,1.44,16,5.51,20,0,0,4.2,3,0.4,39
100,360,162,1.83,25,2.83,0,30,10,12,7,0.27,72.3492
100,340,175,1.98,31.5,3.46,0,30,0,9,60,0.36,57
100,235,175,1.61,31.5,5.44,0,30,0,5.6,7,0.52,18
150,382.5,225,1.23,16,3.6,0,0,15,2.2,28,0.5,53
150,400,112,1.86,25,3.57,20,0,0,6,7,0.22,54.4
100,480,126,1.83,25,2.83,0,10,10,12,3,0.21,75.6738
100,480,126,1.83,25,2.83,0,10,10,12,56,0.21,108.014
100,480,162,1.83,25,2.83,0,10,10,12,28,0.27,94.0189
150,210,219,1.52,19,7.2,18,0,0,0,119,0.86,26.7
150,400,240,1.23,16,4.06,0,0,0,1.63,7,0.6,41.6
150,406,162,1.63,20,2.86,0,20,10,6.72,28,0.28,84.2
150,280,105,1.44,16,5.79,20,0,0,11.55,3,0.3,49.1
100,300,188,1.43,31.5,6.23,0,0,0,5.1,90,0.63,39.3
150,210,214,1.52,19,9,0,0,0,0,180,1.02,19.8
250,174.89,108,2.7,80,12.28,0,0,0,2.1,28,0.62,21.21
150,400,120,1.44,16,4.88,0,0,0,16,3,0.3,62.5
150,360,160,1.23,16,4.59,0,0,10,4.88,7,0.4,62
150,315,175,1.23,16,5.25,0,0,10,2.85,180,0.5,65.6
150,237,197.5,1.5,20,4.57,40,0,0,0,3,0.5,9.47368
150,175,223,1.52,19,5.99,40,0,0,0,7,0.75,18.6
100,170,175,1.56,31.5,6.62,0,40,0,4.5,180,0.62,35.1
150,350,105,1.86,25,3.57,30,0,0,6,7,0.21,53.1
100,275,190,1.93,31.5,2.92,20,30,0,10.9,180,0.35,66.7
300,183.05,108,2.7,80,11.69,0,0,0,2.2,28,0.59,19.88
100,480,144,1.83,25,2.83,0,10,10,12,7,0.24,74.6336
150,320,188,1.5,20,5.9,0,0,0,1.92,7,0.59,32.2
100,205,193,1.48,31.5,7.35,0,20,0,4,7,0.76,12.7
150,160,120,1.44,16,4.81,60,0,0,6,90,0.3,79
100,392,196,1.05,12.5,4.53,0,0,0,0,56,0.5,49.36
100,180,175,1.49,31.5,4.98,20,30,0,6,180,0.48,49.8
150,315,175,1.23,16,5.25,0,0,10,2.85,3,0.5,34.3
100,340,175,1.39,31.5,5.48,0,0,0,5.8,14,0.51,36.1
100,250,170,1.7,31.5,5.73,18,3,0,6.8,28,0.54,48.6
150,318.182,175,1.7,20,6.26,0,0,0,0,28,0.55,24.94
150,90,135,1.44,16,4.07,80,0,0,8.1,28,0.3,66.3
150,405,270,1.23,16,3.34,0,0,10,1.1,180,0.6,45.9
150,275,160,1.5,20,7.15,0,0,0,0,28,0.58,22.38
100,120,116,2,10,4.5,0,70,0,0,28,0.29,34.1
150,175,230,1.52,19,4.9,50,0,0,0,365,0.66,40.8
100,445,155.75,1.38,25,4,0,0,0,4.45,90,0.35,83.8
150,509,224,2.84,16,2.49,0,15,0,10.02,28,0.37,50.4
150,350,105,1.44,16,5.8,0,0,0,12.25,28,0.3,75.8
100,438.03,164.85,1.33,25,3.8,0,0,7,5.181,90,0.35,81.9
150,315,140,1.23,16,5.52,0,0,10,8.54,180,0.4,90
100,120,160,2,10,4.5,0,70,0,0,3,0.4,11.05
150,180,135,1.44,16,4.09,60,0,0,9,28,0.3,80.6
150,472,236,2.22,16,3.38,0,0,0,0,28,0.5,36.4
100,340,175,1.98,31.5,3.46,0,30,0,9,14,0.36,49.2
150,320,200,1.23,16,4.33,0,0,20,3.25,7,0.5,58
100,270,178,2.04,31.5,3.79,0,40,0,7.6,7,0.4,29.3
150,237,197.5,1.5,20,4.57,40,0,0,0,7,0.5,21.0526
200,91.51,108,2.7,80,11.69,50,0,0,2.2,28,0.59,22.31
150,280,175,1.44,16,5.26,20,0,0,0,360,0.5,69.8
150,210,231,1.52,19,4.73,42,0,0,0,180,0.64,47.9
100,325,162,2,20,5.99,0,0,0,0,7,0.5,31.6222
150,360,120,1.23,16,4.86,0,0,10,22.76,500,0.3,93.3
150,245,218,1.52,19,7.55,0,0,0,0,365,0.89,25.6
150,210,251,1.52,19,3.2,56,0,0,0,180,0.52,50.7
150,280,140,1.23,16,5.52,0,0,20,8.54,500,0.4,95.8
150,280,175,1.44,16,5.26,20,0,0,0,90,0.5,65.4
150,350,105,1.44,16,5.8,0,0,0,12.25,360,0.3,90
100,128.11,108,2.7,40,11.69,30,0,0,2.2,28,0.59,26.36
200,415,224,1.5,20,4.24,0,0,0,0,28,0.54,30
150,360,240,1.23,16,4.06,0,0,10,1.63,500,0.6,48.1
150,450,135,1.44,16,4.14,0,0,0,18,7,0.3,75.7
250,174.89,108,2.7,40,12.28,0,0,0,2.1,28,0.62,22.65
150,280,175,1.23,16,5.25,0,0,20,2.85,180,0.5,63.5
150,360,225,1.23,16,3.6,0,0,20,2.2,7,0.5,55
100,325,162,2,20,5.99,0,0,0,0,90,0.5,51.8891
100,461.95,194,1.7,20,3.89,0,0,0,0,28,0.42,36.58
150,461,203,2.22,16,2.94,0,15,0,2.01,28,0.37,49.7
200,551,193,1.63,20,3.01,0,0,0,0,28,0.35,51.48
150,175,238,1.52,19,4.11,56,0,0,0,180,0.6,40.9
150,280,231,1.52,19,5.08,18,0,0,0,14,0.68,26.7
150,245,263,1.52,19,2.56,56,0,0,0,180,0.47,60.2
150,280,231,1.52,19,5.08,18,0,0,0,119,0.68,37.8
200,91.51,108,2.7,40,11.69,50,0,0,2.2,28,0.59,23.78
100,194,162,2,20,6.01,40,0,0,0,90,0.5,59.7947
150,405,270,1.23,16,3.34,0,0,10,1.1,7,0.6,41.6
100,200,172,2,10,4.5,0,50,0,5.6,90,0.43,59.25
150,350,140,1.44,16,5.54,0,0,0,5.25,360,0.4,72.8
100,150,178,1.52,31.5,6.19,20,30,0,5,180,0.59,37.7
200,147.48,108,3,80,10.02,30,0,0,2.53,28,0.51,28.18
300,64.85,108,2.57,80,13.32,60,0,0,1.95,28,0.67,14.79
150,175,248,1.52,19,3.49,61,0,0,0,119,0.55,33.7
300,64.85,108,2.57,80,13.32,60,0,0,1.95,28,0.67,14.79
150,90,135,1.44,16,4.07,80,0,0,8.1,3,0.3,26.3
150,70,175,1.44,16,5.19,80,0,0,0,28,0.5,29.9
100,472,172,1.35,12.5,3.75,0,0,0,0.7,56,0.36,71.27
150,140,105,1.44,16,5.74,60,0,0,7,3,0.3,31.9
150,350,105,1.23,16,5.78,0,0,0,28.5,180,0.3,69
100,308.93,185.41,1.44,31.5,4.26,0,24,0,9.27,7,0.45,33.64
100,170,180,1.44,31.5,7.19,15,20,0,4.3,180,0.68,33.1
150,197.5,197.5,1.5,20,4.57,50,0,0,0,14,0.5,32.5
100,112.05,157.7,1.28,25,4.3,70,0,3,2.49,180,0.38,65.7
100,340,175,1.98,31.5,3.46,0,30,0,9,180,0.36,66.9
150,300,93,1.86,25,3.57,0,40,0,6,28,0.19,47
150,464,162,1.63,20,2.86,0,20,0,0,14,0.28,74.8
