d,c,w,CA/FA ,Dmax,ratio of aggregate to binder,BFS,fly ash,Silicon,superplasticizer,age,w/b,fc
300,97.27,108,2.57,40,13.32,40,0,0,1.95,28,0.67,16.42
150,470,100,1.5,20,3.14,0,0,16,12.6,28,0.18,65.91
100,330,165,1.22,25,5.6,0,0,0,2.64,180,0.5,74.7
100,190,185,1.52,31.5,6.93,0,30,0,4.4,90,0.69,27.5
150,210,224,1.52,19,5.93,30,0,0,0,28,0.75,30
150,354.53,195,1.86,25,5.09,0,0,0,0,28,0.55,28.15
100,420,162,1.83,25,2.83,20,0,10,12,3,0.27,80.6383
150,450,180,1.44,16,3.89,0,0,0,4.5,360,0.4,79.4
100,271.35,153.9,1.33,25,4.42,0,30,3,3.645,28,0.38,62.9
250,128.11,108,2.7,80,11.69,30,0,0,2.2,28,0.59,21.55
100,356,160.2,1.27,25,5.16,0,0,0,3.204,180,0.45,79.6
150,360,240,1.23,16,4.06,0,0,10,1.63,7,0.6,44.9
100,338,153,1.86,25,3.77,0,30,0,6,28,0.32,38.45
100,45,198,2.11,31.5,3.83,0,90,0,0,7,0.44,2.875
150,240,200,1.44,16,4.3,40,0,0,0,360,0.5,65.2
150,160,120,1.44,16,4.81,60,0,0,6,7,0.3,58.3
150,245,263,1.52,19,2.56,56,0,0,0,28,0.47,41.5
150,280,236,1.52,19,4.15,30,0,0,0,14,0.59,33.1
100,120,172,2,10,4.5,0,70,0,5.6,3,0.43,7.07
150,300,225,1.52,19,5.94,0,0,0,0,7,0.75,19.9
150,210,251,1.52,19,3.2,56,0,0,0,119,0.52,45.3
100,420,144,1.83,25,2.83,0,20,10,12,28,0.24,96.8085
100,426,176,2.46,20,4.25,0,0,0,0,28,0.41,30.11
200,73.21,108,2.7,40,11.69,60,0,0,2.2,28,0.59,23.32
150,300,84,1.86,25,3.57,40,0,0,6,3,0.17,36
150,400,239,1.52,19,4.15,0,0,0,0,28,0.6,40.4
150,315,210,1.23,16,4.99,0,0,10,1.42,500,0.6,51
100,112.05,157.7,1.28,25,4.3,70,0,3,2.49,90,0.38,57.9
100,417,200,1.63,20,4.28,0,0,0,0,28,0.48,34.9
100,210,172,1.62,31.5,4.09,20,30,0,8,90,0.4,52
100,64,161,2,20,6,80,0,0,0,90,0.5,33.4908
250,183.05,108,2.7,80,11.69,0,0,0,2.2,28,0.59,21.21
150,245,250,1.52,19,3.13,50,0,0,0,365,0.51,59.7
100,450,198,2.11,31.5,3.83,0,0,0,0,14,0.44,42.899
100,270,175,1.43,25,4.74,8,21,0,4.56,180,0.46,58.2
100,420,126,1.83,25,2.83,20,0,10,12,7,0.21,84.3617
150,197.5,197.5,1.5,20,4.57,20,30,0,0,14,0.5,30.9947
150,450,270,1.23,16,3.34,0,0,0,1.1,7,0.6,38.3
100,300,126,1.83,25,2.83,40,0,10,12,7,0.21,81.573
150,400,240,1.23,16,4.06,0,0,0,1.63,3,0.6,24
150,320,160,1.44,16,4.59,20,0,0,4,3,0.4,41
100,129,161,2,20,6,60,0,0,0,28,0.5,44.846
100,235,178,1.46,31.5,6.39,10,10,0,4.9,90,0.6,37.9
100,200,156,2,10,4.5,0,50,0,0,1,0.39,15.73
150,450,270,1.23,16,3.34,0,0,0,1.1,500,0.6,49.1
100,300,144,1.83,25,2.83,40,0,10,12,7,0.24,80.7865
100,400,128,2,10,4.5,0,0,0,0,28,0.32,69.12
200,255,191,1.78,20,7.66,0,0,0,0,28,0.75,12.69
100,300,170,1.53,31.5,4.83,0,20,0,6.5,180,0.45,61.8
100,360,144,1.83,25,2.83,30,0,10,12,28,0.24,95.5609
100,200,172,2,10,4.5,0,50,0,5.6,365,0.43,72.1
100,200,156,2,10,4.5,0,50,0,0,180,0.39,72.65
150,175,215,1.52,19,8.86,18,0,0,0,14,1.01,13.4
100,285,175,1.55,31.5,4.55,9,21,0,6.6,28,0.43,48
100,300,126,1.83,25,2.83,40,0,10,12,56,0.21,105.393
150,245,230,1.52,19,4.91,30,0,0,0,7,0.66,25.6
100,120,112,2,10,4.5,0,70,0,5.6,180,0.28,70.45
150,245,279,1.52,19,2.1,61,0,0,0,28,0.44,37.5
150,118.5,197.5,1.5,20,4.57,70,0,0,0,3,0.5,6.05263
100,311.5,155.75,1.61,25,3.89,0,30,0,4.005,90,0.35,83.1
150,210,140,1.44,16,5.5,40,0,0,3.5,28,0.4,67.2
100,270,175,1.43,25,4.74,0,29,0,4.56,90,0.46,42.7
150,240,160,1.44,16,4.56,40,0,0,4,360,0.4,79
150,280,105,1.23,16,5.78,0,0,20,28.5,500,0.3,89.5
100,300,144,1.83,25,2.83,40,0,10,12,56,0.24,101.685
150,340,160,1.23,16,4.59,0,0,15,4.88,28,0.4,81.5
150,340,200,1.23,16,4.33,0,0,15,3.25,180,0.5,63.8
150,405,225,1.23,16,3.6,0,0,10,2.2,28,0.5,55.8
150,140,105,1.44,16,5.74,60,0,0,7,360,0.3,85.7
150,350,232,1.52,19,4.92,0,0,0,0,7,0.66,24.9
150,400,239,1.52,19,4.15,0,0,0,0,365,0.6,46.3
100,135,225,2.11,31.5,3.83,0,70,0,0,7,0.5,6.305
100,300,162,1.83,25,2.83,0,40,10,12,3,0.27,68.427
100,385,154,1.33,25,4.7,0,0,0,3.465,28,0.4,70.6
150,320,160,1.23,16,4.59,0,0,20,4.88,180,0.4,82.9
150,175,218,1.52,19,7.36,30,0,0,0,119,0.87,28.1
150,450,180,1.23,16,3.87,0,0,0,5.49,28,0.4,60.5
150,320,200,1.44,16,4.33,20,0,0,0,7,0.5,34.2
150,175,223,1.52,19,5.99,40,0,0,0,63,0.75,31.7
150,240,120,1.44,16,4.84,40,0,0,9.6,28,0.3,82
150,245,279,1.52,19,2.1,61,0,0,0,365,0.44,55.2
150,210,140,1.44,16,5.5,40,0,0,3.5,7,0.4,49.1
150,360,225,1.44,16,3.6,20,0,0,0,360,0.5,66.7
100,318.79,159.4,1.63,31.5,3.49,0,35,0,9.57,90,0.32,67.05
150,300,84,1.86,25,3.57,40,0,0,6,7,0.17,45.2
150,450,180,1.44,16,3.89,0,0,0,4.5,28,0.4,64.3
100,300,188,1.43,31.5,6.23,0,0,0,5.1,60,0.63,36.9
150,175,238,1.52,19,4.11,56,0,0,0,28,0.6,27.2
100,318.79,159.4,1.44,31.5,4.26,0,24,0,9.57,7,0.38,47.48
150,450,225,1.44,16,3.62,0,0,0,0,360,0.5,60.2
100,215,173,1.72,31.5,5.05,0,40,0,5.7,90,0.48,39.1
150,320,200,1.44,16,4.33,20,0,0,0,28,0.5,52.6
100,325,170,1.64,31.5,4.45,10,10,0,8.1,60,0.42,57.6
100,300,144,1.83,25,2.83,0,40,10,12,28,0.24,96.0674
150,175,209,1.52,19,11.05,0,0,0,0,365,1.19,14.5
150,210,224,1.52,19,5.93,30,0,0,0,63,0.75,33
100,135,171,2.11,31.5,3.83,0,70,0,0,7,0.38,10.463
200,151.31,108,2.57,80,14.35,0,0,0,1.82,28,0.71,17.36
150,509,224,2.84,16,2.49,0,15,0,6.22,28,0.37,53
100,360,126,1.83,25,2.83,0,30,10,12,28,0.21,97.9947
150,382.5,135,1.23,16,4.13,0,0,15,18.3,180,0.3,101.5
150,90,180,1.44,16,3.8,80,0,0,1.35,360,0.4,58.9
150,90,180,1.44,16,3.8,80,0,0,1.35,28,0.4,46.8
150,315,140,1.23,16,5.52,0,0,10,8.54,28,0.4,87.8
150,280,224,1.52,19,6.44,0,0,0,0,365,0.8,31.2
150,140,175,1.44,16,5.21,60,0,0,0,360,0.5,65.9
100,120,116,2,10,4.5,0,70,0,0,90,0.29,48.75
100,329.23,131.88,1.63,31.5,3.49,0,35,0,9.88,7,0.26,44.47
150,360,200,1.23,16,4.33,0,0,10,3.25,7,0.5,43.9
150,280,231,1.52,19,5.08,18,0,0,0,7,0.68,24
150,270,135,1.44,16,4.11,40,0,0,11.7,3,0.3,49.8
100,472,172,1.35,12.5,3.75,0,0,0,0.7,7,0.36,45.25
100,190,185,1.52,31.5,6.93,0,30,0,4.4,28,0.69,21.8
100,300,144,1.83,25,2.83,0,40,10,12,3,0.24,68.764
150,245,230,1.52,19,4.91,30,0,0,0,180,0.66,46.9
300,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,18.89
150,340,200,1.23,16,4.33,0,0,15,3.25,28,0.5,60.6
150,350,175,1.23,16,5.25,0,0,0,2.85,3,0.5,32.7
100,360,172,1.69,31.5,4.86,0,0,0,8,28,0.48,58
150,180,180,1.44,16,3.82,60,0,0,2.25,7,0.4,38.6
100,151.2,185,1.58,31.5,5.14,37,21,0,4.65,56,0.52,40.08
100,360,126,1.83,25,2.83,30,0,10,12,7,0.21,83.4604
150,250,219,1.52,19,7.37,0,0,0,0,7,0.88,15.3
150,450,225,1.23,16,3.6,0,0,0,2.2,3,0.5,32.2
100,354,172,1.43,12.5,3.66,0,25,0,0.75,7,0.36,39.76
150,240,160,1.44,16,4.56,40,0,0,4,28,0.4,66.9
200,275,160,1.5,20,7.15,0,0,0,0,28,0.58,21.96
150,80,200,1.44,16,4.26,80,0,0,0,28,0.5,25.3
150,437,176,2.46,20,4.12,0,0,0,0,28,0.4,37.71
150,450,180,1.23,16,3.87,0,0,0,5.49,500,0.4,80
100,45,198,2.11,31.5,3.83,0,90,0,0,28,0.44,4.468
150,245,239,1.52,19,3.88,42,0,0,0,365,0.57,57.4
150,245,279,1.52,19,2.1,61,0,0,0,63,0.44,43.5
100,300,162,1.83,25,2.83,0,40,10,12,56,0.27,97.9775
100,124.5,157.7,1.28,25,4.28,70,0,0,2.075,180,0.38,63.1
100,170,175,1.56,31.5,6.62,0,40,0,4.5,7,0.62,13.5
100,200,172,2,10,4.5,0,50,0,5.6,7,0.43,24.41
150,487,206,2.13,20,3.61,0,0,0,0,28,0.42,45.61
150,400,239,1.52,19,4.15,0,0,0,0,119,0.6,42.4
100,330,188,2.2,31.5,2.91,0,40,0,11,28,0.34,47
100,190,185,1.52,31.5,6.93,0,30,0,4.4,14,0.69,17.2
150,320,160,1.44,16,4.59,20,0,0,4,90,0.4,72.4
100,120,112,2,10,4.5,0,70,0,5.6,3,0.28,17.83
100,318.79,159.4,1.88,31.5,2.9,0,43,0,11.16,90,0.29,68.54
150,354.53,212.72,1.86,25,4.95,0,0,0,0,28,0.6,27.58
200,109.81,108,2.7,80,11.69,40,0,0,2.2,28,0.59,22.96
100,270,175,1.43,25,4.74,0,29,0,4.56,180,0.46,51.2
100,325,170,1.64,31.5,4.45,10,10,0,8.1,7,0.42,39.3
200,97.27,108,2.57,80,13.32,40,0,0,1.95,28,0.67,17.15
150,280,231,1.52,19,5.08,18,0,0,0,63,0.68,35.2
150,400,112,1.86,25,3.57,20,0,0,6,28,0.22,61.3
150,210,140,1.44,16,5.5,40,0,0,3.5,360,0.4,78.2
100,410,180,1.47,31.5,4.39,0,0,0,7.5,14,0.44,50.5
100,120,172,2,10,4.5,0,70,0,5.6,90,0.43,30.15
100,255,191,1.78,20,7.66,0,0,0,0,28,0.75,13.5
100,133.5,155.75,1.44,25,3.93,70,0,0,2.225,28,0.35,56.9
150,400,240,1.23,16,4.06,0,0,0,1.63,500,0.6,48.8
150,210,140,1.44,16,5.5,40,0,0,3.5,3,0.4,31.9
150,280,263,1.52,19,2.56,50,0,0,0,63,0.47,55.3
100,551,193,1.63,20,3.01,0,0,0,0,28,0.35,59.45
300,113.49,108,2.57,80,13.32,30,0,0,1.95,28,0.67,15.5
100,356,160.2,1.27,25,5.16,0,0,0,3.204,28,0.45,62.7
150,175,230,1.52,19,4.9,50,0,0,0,28,0.66,27.8
100,215,173,1.72,31.5,5.05,0,40,0,5.7,180,0.48,47.6
150,70,175,1.44,16,5.19,80,0,0,0,7,0.5,21.8
150,280,278,1.52,19,2.06,56,0,0,0,7,0.43,33.3
150,450,135,1.44,16,4.14,0,0,0,18,360,0.3,92.8
150,360,188,1.63,20,4.52,0,0,10,2,14,0.47,57.7
100,430,172,1.28,12.5,4.21,0,0,0,0.7,56,0.4,65.99
150,180,225,1.44,16,3.56,60,0,0,0,360,0.5,57.4
100,260,175,1.52,31.5,5.76,0,20,0,5.2,14,0.54,25.7
150,350,105,1.86,25,3.57,0,30,0,6,28,0.21,50.8
150,400,120,1.23,16,4.86,0,0,0,22.76,28,0.3,65.4
150,360,135,1.23,16,4.13,0,0,20,18.3,7,0.3,101
150,502,226,2.22,16,3.18,0,0,0,0,28,0.45,42.6
150,210,231,1.52,19,4.73,42,0,0,0,14,0.64,26.1
150,360,120,1.23,16,4.86,0,0,10,22.76,7,0.3,68.8
150,400,165,1.57,20,4.24,0,7,0,4.71,3,0.39,40.8
150,400,120,1.23,16,4.86,0,0,0,22.76,3,0.3,47.1
150,280,224,1.52,19,6.44,0,0,0,0,28,0.8,27.5
150,509,224,2.84,16,2.49,0,15,0,2.21,28,0.37,51.3
150,297.5,105,1.23,16,5.78,0,0,15,28.5,3,0.3,44.2
150,210,219,1.52,19,7.2,18,0,0,0,63,0.86,25
150,280,140,1.44,16,5.51,20,0,0,4.2,90,0.4,73.7
100,330,188,2.2,31.5,2.91,0,40,0,11,60,0.34,53.5
150,350,140,1.23,16,5.52,0,0,0,8.54,28,0.4,59.7
150,280,105,1.23,16,5.78,0,0,20,28.5,180,0.3,89.3
150,280,295,1.52,19,1.67,61,0,0,0,63,0.41,49.6
150,280,295,1.52,19,1.67,61,0,0,0,119,0.41,55.2
150,280,140,1.44,16,5.51,20,0,0,4.2,360,0.4,76.7
150,340,120,1.23,16,4.86,0,0,15,22.76,28,0.3,90.5
150,297.5,175,1.23,16,5.25,0,0,15,2.85,3,0.5,34.7
100,420,162,1.83,25,2.83,0,20,10,12,7,0.27,77.5532
100,215,172,1.28,12.5,4.21,50,0,0,0.75,3,0.4,22.03
100,360,172,1.69,31.5,4.86,0,0,0,8,90,0.48,62
100,275,160,1.5,20,7.15,0,0,0,0,28,0.58,23.66
150,250,219,1.52,19,7.37,0,0,0,0,180,0.88,25.9
150,210,105,1.44,16,5.76,40,0,0,8.75,28,0.3,81
250,109.81,108,2.7,40,11.69,40,0,0,2.2,28,0.59,22.81
150,270,180,1.44,16,3.84,40,0,0,2.25,90,0.4,81
150,210,140,1.44,16,5.5,40,0,0,3.5,90,0.4,76.3
100,300,126,1.83,25,2.83,0,40,10,12,7,0.21,76.5169
150,400,200,1.23,16,4.33,0,0,0,3.25,7,0.5,41.1
150,280,295,1.52,19,1.67,61,0,0,0,7,0.41,30.2
100,385,165,1.62,20,3.24,0,30,0,7.7,28,0.3,84.5
200,97.27,108,2.57,80,13.32,40,0,0,1.95,28,0.67,17.15
100,210,172,1.62,31.5,4.09,20,30,0,8,180,0.4,60.3
150,113.49,108,2.57,40,13.32,30,0,0,1.95,28,0.67,18.89
150,498,249,2.57,16,3.09,0,0,0,0,28,0.5,35
150,210,261,1.52,19,2.69,60,0,0,0,28,0.48,31.8
250,206.1,108,3,40,10.27,0,0,0,2.47,28,0.52,27.14
150,426,176,2.46,20,4.25,0,0,0,0,28,0.41,28.01
150,400,165,1.57,20,4.24,0,7,0,4.71,56,0.39,61.5
100,285,173,1.72,31.5,4.35,0,30,0,7.2,60,0.43,51
100,330,188,2.2,31.5,2.91,0,40,0,11,180,0.34,66.7
150,350,140,1.44,16,5.54,0,0,0,5.25,28,0.4,63.9
150,382.5,180,1.23,16,3.87,0,0,15,5.49,3,0.4,44
150,360,180,1.23,16,3.87,0,0,20,5.49,28,0.4,78.4
150,350,175,1.44,16,5.27,0,0,0,0.7,3,0.5,38
150,210,231,1.52,19,4.73,42,0,0,0,119,0.64,43.4
150,280,278,1.52,19,2.06,56,0,0,0,63,0.43,54.9
150,90,180,1.44,16,3.8,80,0,0,1.35,3,0.4,22.6
100,245,198,1.44,31.5,7.71,0,0,0,4.2,7,0.81,14.5
100,398,180,1.86,25,2.91,0,30,0,0,28,0.32,39.6
150,325.55,180,1.5,20,4.15,13,13,0,0,28,0.41,57.573
100,308.93,185.41,1.88,31.5,2.9,0,43,0,10.81,7,0.34,39.89
100,120,116,2,10,4.5,0,70,0,0,1,0.29,7.09
100,329.23,131.88,1.88,31.5,2.9,0,43,0,11.52,28,0.23,48.78
150,395,197.5,1.5,20,4.57,0,0,0,0,14,0.5,31.84
150,280,295,1.52,19,1.67,61,0,0,0,28,0.41,42.7
100,270,175,1.43,25,4.74,8,21,0,4.56,120,0.46,50.4
100,205,193,1.48,31.5,7.35,0,20,0,4,60,0.76,25.4
150,245,250,1.52,19,3.13,50,0,0,0,28,0.51,42.3
100,404.7,161.88,1.28,25,4.21,0,0,5,4.26,28,0.38,76.2
150,280,231,1.52,19,5.08,18,0,0,0,28,0.68,33.7
150,360,225,1.23,16,3.6,0,0,20,2.2,28,0.5,55
150,320,200,1.44,16,4.33,20,0,0,0,360,0.5,65.8
150,340,240,1.23,16,4.06,0,0,15,1.63,3,0.6,23.2
150,210,251,1.52,19,3.2,56,0,0,0,63,0.52,40.7
150,551,193,1.63,20,3.01,0,0,0,0,28,0.35,54.13
150,360,195,1.35,20,4.05,0,16,0,0,115,0.45,39.52
100,340,175,1.98,31.5,3.46,0,30,0,9,90,0.36,60.1
150,210,240,1.52,19,3.87,50,0,0,0,365,0.57,50.5
100,420,144,1.83,25,2.83,20,0,10,12,28,0.24,96.8085
150,180,180,1.44,16,3.82,60,0,0,2.25,3,0.4,26.9
100,420,144,1.83,25,2.83,0,20,10,12,3,0.24,73.0851
100,329.23,131.88,1.44,31.5,4.26,0,24,0,9.88,90,0.3,64.38
150,160,120,1.44,16,4.81,60,0,0,6,28,0.3,77.8
150,297.5,210,1.23,16,4.99,0,0,15,1.42,28,0.6,48.8
150,90,225,1.44,16,3.53,80,0,0,0,28,0.5,27.7
100,323,172,1.35,12.5,4.12,0,25,0,0.75,28,0.4,54.73
150,450,135,1.44,16,4.14,0,0,0,18,3,0.3,63.8
100,200,120,2,10,4.5,0,50,0,0,1,0.3,28.25
150,350,175,1.23,16,5.25,0,0,0,2.85,28,0.5,51.7
150,350,232,1.52,19,4.92,0,0,0,0,180,0.66,40
150,320,240,1.23,16,4.06,0,0,20,1.63,28,0.6,45.7
150,280,247,1.52,19,3.24,42,0,0,0,28,0.51,47.5
100,447.45,164.85,1.38,25,3.81,0,0,5,5.181,180,0.35,84.1
100,300,162,1.83,25,2.83,40,0,10,12,7,0.27,79.8876
100,208,185,1.58,31.5,4.88,25,20,0,2.65,56,0.49,45.92
100,200,120,2,10,4.5,0,50,0,0,180,0.3,84.75
150,97.27,108,2.57,40,13.32,40,0,0,1.95,28,0.67,18.78
250,81.06,108,2.57,80,13.32,50,0,0,1.95,28,0.67,15.76
150,382.5,135,1.23,16,4.13,0,0,15,18.3,500,0.3,101.5
150,382.5,270,1.23,16,3.34,0,0,15,1.1,180,0.6,43.2
150,315,105,1.23,16,5.78,0,0,10,28.5,180,0.3,88.2
150,350,210,1.23,16,4.99,0,0,0,1.42,180,0.6,45
150,360,160,1.23,16,4.59,0,0,10,4.88,500,0.4,91.5
150,300,84,1.86,25,3.57,40,0,0,6,28,0.17,57.7
100,135,225,2.11,31.5,3.83,0,70,0,0,14,0.5,8.357
100,285,173,1.72,31.5,4.35,0,30,0,7.2,14,0.43,40.8
100,131.4,153.3,1.44,25,3.98,50,20,0,2.628,180,0.35,67.8
200,174.89,108,2.7,40,12.28,0,0,0,2.1,28,0.62,24.29
150,280,236,1.52,19,4.15,30,0,0,0,7,0.59,29.8
150,280,224,1.52,19,6.44,0,0,0,0,119,0.8,28.9
100,180,175,1.49,31.5,4.98,20,30,0,6,90,0.48,42.6
150,360,270,1.23,16,3.34,0,0,20,1.1,180,0.6,41.6
150,450,180,1.44,16,3.89,0,0,0,4.5,3,0.4,53
150,417,200,1.63,20,4.28,0,0,0,0,28,0.48,32.35
100,170,175,1.56,31.5,6.62,0,40,0,4.5,14,0.62,18.7
100,170,180,1.44,31.5,7.19,15,20,0,4.3,14,0.68,16.8
100,300,170,1.53,31.5,4.83,0,20,0,6.5,7,0.45,35.7
150,240,120,1.44,16,4.84,40,0,0,9.6,360,0.3,92.4
100,269.231,175,1.69,20,7.44,0,0,0,0,28,0.65,18.75
250,360,195,1.35,20,4.05,0,16,0,0,160,0.45,35.85
200,105.34,108,3,80,10.02,50,0,0,2.53,28,0.51,27.26
100,285,173,1.72,31.5,4.35,0,30,0,7.2,180,0.43,63.5
100,270,175,1.43,25,4.74,8,21,0,4.56,120,0.46,52.2
150,280,224,1.52,19,6.44,0,0,0,0,180,0.8,31.2
100,270,175,1.43,25,4.74,0,29,0,4.56,180,0.46,46
150,450,225,1.23,16,3.6,0,0,0,2.2,500,0.5,64.1
100,81.06,108,2.57,40,13.32,50,0,0,1.95,28,0.67,19.12
200,64.85,108,2.57,80,13.32,60,0,0,1.95,28,0.67,16.55
100,420,144,1.83,25,2.83,20,0,10,12,56,0.24,106.596
100,200,186,1.43,31.5,7.62,10,10,0,4.1,180,0.74,29.2
150,400,188,1.63,20,4.52,0,0,0,0,28,0.47,59.5
100,300,170,1.85,31.5,4.71,19,0,0,8.3,28,0.46,51.9
150,210,219,1.52,19,7.2,20,0,0,0,28,0.86,23.6
150,382.5,180,1.23,16,3.87,0,0,15,5.49,180,0.4,91.5
100,415,224,1.5,20,4.24,0,0,0,0,28,0.54,33.6
100,430,172,1.28,12.5,4.21,0,0,0,0.7,7,0.4,41.93
150,280,236,1.52,19,4.15,30,0,0,0,365,0.59,53.8
100,360,162,1.83,25,2.83,30,0,10,12,3,0.27,75.9401
150,280,105,1.44,16,5.79,20,0,0,11.55,28,0.3,81.4
100,432,160,1.53,20,4.23,0,0,0,0,28,0.37,47.23
100,354,172,1.43,12.5,3.66,0,25,0,0.75,28,0.36,60.17
150,360,195,1.35,20,4.05,0,16,0,0,111,0.45,57.24
150,172,132,1.94,40,8.48,0,35,0,1.72,7,0.5,16.45
150,70,140,1.44,16,5.46,80,0,0,2.8,360,0.4,62.6
150,245,279,1.52,19,2.1,61,0,0,0,7,0.44,26.6
150,180,180,1.44,16,3.82,60,0,0,2.25,28,0.4,61.8
100,245,198,1.44,31.5,7.71,0,0,0,4.2,90,0.81,27.8
100,215,172,1.28,12.5,4.21,50,0,0,0.75,7,0.4,37.07
150,432,160,1.5,20,4.19,0,0,0,0,28,0.37,42.95
250,81.06,108,2.57,80,13.32,50,0,0,1.95,28,0.67,15.76
