d,c,w,CA/FA ,Dmax,ratio of aggregate to binder,BFS,fly ash,Silicon,superplasticizer,age,w/b,fc
100,480,126,1.83,25,2.83,0,10,10,12,28,0.21,95.721
150,210,219,1.52,19,7.2,18,0,0,0,365,0.86,28.9
100,120.42,156.1,1.33,25,4,70,0,3,3.122,180,0.35,72.5
100,300,188,1.43,31.5,6.23,0,0,0,5.1,180,0.63,41.8
150,400,160,1.44,16,4.61,0,0,0,6,360,0.4,70.6
100,447.45,164.85,1.38,25,3.81,0,0,5,5.181,28,0.35,77.8
150,180,180,1.44,16,3.82,60,0,0,2.25,360,0.4,80.6
100,325,170,1.64,31.5,4.45,10,10,0,8.1,180,0.42,64.2
150,400,200,1.23,16,4.33,0,0,0,3.25,180,0.5,58.3
200,84.28,108,3,40,10.02,60,0,0,2.53,28,0.51,28.74
150,245,250,1.52,19,3.13,50,0,0,0,119,0.51,53.5
100,300,170,1.85,31.5,4.71,19,0,0,8.3,60,0.46,55.9
100,64,161,2,20,6,80,0,0,0,28,0.5,29.0349
150,70,140,1.44,16,5.46,80,0,0,2.8,28,0.4,50.4
150,405,225,1.23,16,3.6,0,0,10,2.2,500,0.5,60.3
150,280,231,1.52,19,5.08,18,0,0,0,180,0.68,41.1
100,200,156,2,10,4.5,0,50,0,0,7,0.39,35.1
150,320,200,1.23,16,4.33,0,0,20,3.25,500,0.5,60.8
100,480,144,1.83,25,2.83,10,0,10,12,7,0.24,82.2931
100,121.5,153.9,1.33,25,4.42,50,20,0,2.43,90,0.38,60.8
100,126.41,108,3,40,10.02,40,0,0,2.53,28,0.51,32.12
150,350,140,1.44,16,5.54,0,0,0,5.25,3,0.4,45.9
150,175,248,1.52,19,3.49,61,0,0,0,365,0.55,38.7
150,350,232,1.52,19,4.92,0,0,0,0,14,0.66,27.8
150,450,270,1.23,16,3.34,0,0,0,1.1,180,0.6,49.1
150,405,225,1.23,16,3.6,0,0,10,2.2,7,0.5,55.8
150,240,200,1.44,16,4.3,40,0,0,0,3,0.5,17.4
150,210,240,1.52,19,3.87,50,0,0,0,63,0.57,40.9
150,245,218,1.52,19,7.55,0,0,0,0,119,0.89,23.5
150,280,175,1.23,16,5.25,0,0,20,2.85,28,0.5,62.7
150,210,214,1.52,19,9,0,0,0,0,28,1.02,17.5
100,285,175,1.55,31.5,4.55,9,21,0,6.6,180,0.43,58.7
100,344,172,1.18,12.5,5.47,0,0,0,0.7,7,0.5,24.5
150,297.5,105,1.23,16,5.78,0,0,15,28.5,500,0.3,87
100,212,177,1.58,31.5,5.65,15,20,0,5.2,7,0.54,19.3
150,350,175,1.44,16,5.27,0,0,0,0.7,7,0.5,44.5
150,297.5,140,1.23,16,5.52,0,0,15,8.54,3,0.4,47.3
150,350,105,1.44,16,5.8,0,0,0,12.25,3,0.3,61
100,400,128,2,10,4.5,0,0,0,0,1,0.32,33.51
150,320,188,1.5,20,5.9,0,0,0,1.92,28,0.59,43.2
150,400,160,1.44,16,4.61,0,0,0,6,3,0.4,49.2
100,215,173,1.72,31.5,5.05,0,40,0,5.7,28,0.48,30
100,260,175,1.52,31.5,5.76,0,20,0,5.2,180,0.54,45.4
100,135,225,2.11,31.5,3.83,0,70,0,0,28,0.5,12.417
150,240,160,1.44,16,4.56,40,0,0,4,3,0.4,33.4
150,140,175,1.44,16,5.21,60,0,0,0,90,0.5,58.3
100,124.5,157.7,1.28,25,4.28,70,0,0,2.075,90,0.38,57.5
100,480,162,1.83,25,2.83,10,0,10,12,28,0.27,91.2766
150,382.5,180,1.23,16,3.87,0,0,15,5.49,7,0.4,87.7
150,180,135,1.44,16,4.09,60,0,0,9,3,0.3,36.8
150,450,225,1.44,16,3.62,0,0,0,0,90,0.5,50.5
100,300,162,1.83,25,2.83,0,40,10,12,7,0.27,68.2022
100,270,175,1.43,25,4.74,0,29,0,4.56,360,0.46,55.6
150,245,230,1.52,19,4.91,30,0,0,0,28,0.66,36.1
150,400,239,1.52,19,4.15,0,0,0,0,7,0.6,29.1
150,297.5,105,1.23,16,5.78,0,0,15,28.5,7,0.3,60.4
150,375,195,1.78,20,4.88,0,0,0,0,28,0.52,43.45
150,270,225,1.44,16,3.58,40,0,0,0,360,0.5,65.1
150,280,295,1.52,19,1.67,61,0,0,0,180,0.41,62.4
100,404.7,161.88,1.28,25,4.21,0,0,5,4.26,180,0.38,84.6
100,275,160,1.5,20,7.15,0,0,0,0,28,0.58,25.17
150,320,160,1.23,16,4.59,0,0,20,4.88,7,0.4,61
150,360,200,1.23,16,4.33,0,0,10,3.25,500,0.5,62.8
150,270,225,1.44,16,3.58,40,0,0,0,28,0.5,49.3
150,280,263,1.52,19,2.56,50,0,0,0,28,0.47,48.4
150,310,140,1.66,20,4.66,15,7.5,0,4.7,28,0.35,61.8
100,170,180,1.44,31.5,7.19,15,20,0,4.3,28,0.68,22.9
150,400,165,1.57,20,4.24,0,7,0,4.71,7,0.39,53.6
150,280,105,1.44,16,5.79,20,0,0,11.55,7,0.3,68.3
150,450,135,1.23,16,4.13,0,0,0,18.3,500,0.3,91.3
150,350,232,1.52,19,4.92,0,0,0,0,365,0.66,40
100,235,178,1.46,31.5,6.39,10,10,0,4.9,180,0.6,46.4
250,97.27,108,2.57,80,13.32,40,0,0,1.95,28,0.67,16.08
300,161.2,108,2.57,80,13.4,0,0,0,1.95,28,0.67,15.4
150,280,278,1.52,19,2.06,56,0,0,0,28,0.43,47
200,113.49,108,2.57,80,13.32,30,0,0,1.95,28,0.67,17.4
100,170,175,1.56,31.5,6.62,0,40,0,4.5,60,0.62,26.6
150,350,105,1.23,16,5.78,0,0,0,28.5,500,0.3,77
300,97.27,108,2.57,80,13.32,40,0,0,1.95,28,0.67,15.31
100,285,173,1.72,31.5,4.35,0,30,0,7.2,7,0.43,32.7
150,210,214,1.52,19,9,0,0,0,0,14,1.02,13.7
150,340,240,1.23,16,4.06,0,0,15,1.63,500,0.6,51
150,350,175,1.44,16,5.27,0,0,0,0.7,360,0.5,66
100,400,136,2,10,4.5,0,0,0,5.6,3,0.34,40.72
150,280,236,1.52,19,4.15,30,0,0,0,63,0.59,45.9
150,245,239,1.52,19,3.88,42,0,0,0,63,0.57,47.7
100,300,170,1.85,31.5,4.71,19,0,0,8.3,14,0.46,48.6
100,91.51,108,2.7,40,11.69,50,0,0,2.2,28,0.59,25.65
100,438.03,164.85,1.33,25,3.8,0,0,7,5.181,28,0.35,80.5
100,200,172,2,10,4.5,0,50,0,5.6,180,0.43,64
100,300,188,1.43,31.5,6.23,0,0,0,5.1,7,0.63,21.1
150,240,120,1.44,16,4.84,40,0,0,9.6,7,0.3,64.5
150,288,188,1.5,20,5.9,0,0,10,1.92,14,0.59,47
150,250,219,1.52,19,7.37,0,0,0,0,14,0.88,17.6
150,210,231,1.52,19,4.73,42,0,0,0,365,0.64,47.9
150,382.5,225,1.23,16,3.6,0,0,15,2.2,3,0.5,30.3
100,480,162,1.83,25,2.83,10,0,10,12,56,0.27,98.5579
200,81.06,108,2.57,40,13.32,50,0,0,1.95,28,0.67,17.99
100,420,162,1.83,25,2.83,20,0,10,12,28,0.27,92.9787
150,400,239,1.52,19,4.15,0,0,0,0,180,0.6,46.3
150,280,105,1.23,16,5.78,0,0,20,28.5,3,0.3,41.2
100,480,162,1.83,25,2.83,10,0,10,12,3,0.27,76.9031
150,160,200,1.44,16,4.28,60,0,0,0,7,0.5,23.8
100,208,185,1.58,31.5,4.88,25,20,0,2.65,28,0.49,44.65
100,112.05,157.7,1.28,25,4.3,70,0,3,2.49,28,0.38,51.5
150,320,200,1.44,16,4.33,20,0,0,0,90,0.5,61.4
150,400,240,1.23,16,4.06,0,0,0,1.63,180,0.6,48.8
100,147.48,108,3,40,10.02,30,0,0,2.53,28,0.51,32.34
150,288,188,1.5,20,5.9,0,0,10,1.92,7,0.59,36.5
150,400,188,1.63,20,4.52,0,0,0,2,14,0.47,50.8
150,90,135,1.44,16,4.07,80,0,0,8.1,90,0.3,77.4
100,235,175,1.61,31.5,5.44,0,30,0,5.6,90,0.52,36.1
150,450,180,1.23,16,3.87,0,0,0,5.49,180,0.4,80
150,175,230,1.52,19,4.9,50,0,0,0,14,0.66,20.6
150,280,175,1.44,16,5.26,20,0,0,0,7,0.5,41.2
200,470,100,1.5,20,3.14,0,0,16,12.6,28,0.18,62.29
150,268,150,1.33,25,5.3,0,25,0,3.57,90,0.42,54.2
150,175,223,1.52,19,5.99,40,0,0,0,365,0.75,38.4
100,200,132,2,10,4.5,0,50,0,5.6,3,0.33,32.75
200,269.231,175,1.69,20,7.44,0,0,0,0,28,0.65,17.79
100,400,128,2,10,4.5,0,0,0,0,90,0.32,81.54
150,280,224,1.52,19,6.44,0,0,0,0,7,0.8,19.6
150,210,175,1.44,16,5.23,40,0,0,0,28,0.5,55.9
100,325,162,2,20,5.99,0,0,0,0,28,0.5,44.1273
100,205,193,1.48,31.5,7.35,0,20,0,4,180,0.76,31
150,280,175,1.23,16,5.25,0,0,20,2.85,500,0.5,63.9
100,293.46,153.3,1.43,25,3.99,0,30,3,3.942,28,0.35,68.7
150,297.5,105,1.23,16,5.78,0,0,15,28.5,180,0.3,85.5
100,352,190,1.5,25,3.49,30,0,0,2,7,0.38,48.75
100,210,172,1.62,31.5,4.09,20,30,0,8,60,0.4,47.8
100,129,161,2,20,6,60,0,0,0,7,0.5,23.5729
100,235,178,1.46,31.5,6.39,10,10,0,4.9,14,0.6,25.2
150,245,263,1.52,19,2.56,56,0,0,0,7,0.47,29.5
150,360,180,1.44,16,3.87,20,0,0,3.6,90,0.4,82.3
100,430,172,1.28,12.5,4.21,0,0,0,0.7,3,0.4,37.6
150,350,140,1.23,16,5.52,0,0,0,8.54,500,0.4,73.2
150,360,270,1.23,16,3.34,0,0,20,1.1,3,0.6,21.2
150,360,135,1.44,16,4.13,20,0,0,14.4,7,0.3,72.1
100,360,144,1.83,25,2.83,0,30,10,12,56,0.24,103.018
150,70,105,1.44,16,5.71,80,0,0,5.6,3,0.3,22
100,84.28,108,3,40,10.02,60,0,0,2.53,28,0.51,31.67
100,208,185,1.58,31.5,4.88,25,20,0,2.65,7,0.49,26.4
150,210,261,1.52,19,2.69,61,0,0,0,180,0.48,47.9
200,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,21.72
100,330,133,1.91,20,3.69,19,6,7,9.3,28,0.27,90.8
150,400,200,1.23,16,4.33,0,0,0,3.25,3,0.5,33.4
250,84.28,108,3,40,10.02,60,0,0,2.53,28,0.51,26.91
100,135,198,2.11,31.5,3.83,0,70,0,0,14,0.44,10.064
100,270,175,1.43,25,4.74,0,29,0,4.56,270,0.46,55
100,420,162,1.83,25,2.83,20,0,10,12,56,0.27,103.404
100,250,170,1.7,31.5,5.73,18,3,0,6.8,7,0.54,31.9
100,245,198,1.44,31.5,7.71,0,0,0,4.2,28,0.81,23.8
100,360,126,1.83,25,2.83,30,0,10,12,3,0.21,76.7867
150,350,210,1.23,16,4.99,0,0,0,1.42,500,0.6,45.5
150,315,140,1.23,16,5.52,0,0,10,8.54,7,0.4,62.4
200,432,160,1.5,20,4.19,0,0,0,0,28,0.37,41.11
150,280,140,1.23,16,5.52,0,0,20,8.54,3,0.4,45.4
100,357,150,1.33,25,5.3,0,0,0,3.57,90,0.42,57.1
150,126.41,108,3,40,10.02,40,0,0,2.53,28,0.51,30.52
150,315,210,1.23,16,4.99,0,0,10,1.42,3,0.6,21.3
150,486,214,2.57,16,2.69,0,15,0,9.57,28,0.37,50.5
100,329.23,131.88,1.63,31.5,3.49,0,35,0,9.88,28,0.26,52.46
150,270,225,1.44,16,3.58,40,0,0,0,7,0.5,28.3
150,210,175,1.44,16,5.23,40,0,0,0,3,0.5,24.3
100,412,156.56,1.33,25,4.42,0,0,0,4.12,180,0.38,84.7
100,325,162,2,20,5.99,0,0,0,0,1,0.5,10.2053
100,212,177,1.58,31.5,5.65,15,20,0,5.2,60,0.54,36.9
150,464,162,1.63,20,2.86,0,20,0,0,3,0.28,48.4
100,360,144,1.83,25,2.83,30,0,10,12,56,0.24,102.489
200,318.182,175,1.7,20,6.26,0,0,0,0,28,0.55,23.93
150,90,180,1.44,16,3.8,80,0,0,1.35,90,0.4,54.6
150,197.5,197.5,1.5,20,4.57,40,10,0,0,3,0.5,7.01592
100,300,126,1.83,25,2.83,40,0,10,12,3,0.21,76.6292
100,480,162,1.83,25,2.83,0,10,10,12,3,0.27,71.8913
150,240,120,1.44,16,4.84,40,0,0,9.6,90,0.3,88.3
150,210,214,1.52,19,9,0,0,0,0,119,1.02,18.3
150,245,239,1.52,19,3.88,42,0,0,0,180,0.57,57.4
150,297.5,140,1.23,16,5.52,0,0,15,8.54,28,0.4,88.7
150,280,140,1.23,16,5.52,0,0,20,8.54,180,0.4,95.5
150,70,105,1.44,16,5.71,80,0,0,5.6,7,0.3,45.8
250,147.48,108,3,80,10.02,30,0,0,2.53,28,0.51,25.81
150,450,180,1.44,16,3.89,0,0,0,4.5,90,0.4,71
100,356,160.2,1.27,25,5.16,0,0,0,3.204,90,0.45,72.7
100,330,165,1.22,25,5.6,0,0,0,2.64,90,0.5,63.6
100,170,180,1.44,31.5,7.19,15,20,0,4.3,60,0.68,25.8
100,271.35,153.9,1.33,25,4.42,0,30,3,3.645,90,0.38,73.5
100,170,175,1.56,31.5,6.62,0,40,0,4.5,90,0.62,29.4
150,175,248,1.52,19,3.49,61,0,0,0,63,0.55,30.4
150,315,140,1.23,16,5.52,0,0,10,8.54,500,0.4,94.1
150,450,180,1.23,16,3.87,0,0,0,5.49,7,0.4,60.5
150,245,250,1.52,19,3.13,50,0,0,0,7,0.51,30.1
100,300,162,1.83,25,2.83,40,0,10,12,56,0.27,97.191
150,280,224,1.52,19,6.44,0,0,0,0,14,0.8,21.9
100,245,198,1.44,31.5,7.71,0,0,0,4.2,60,0.81,25.9
100,150,178,1.52,31.5,6.19,20,30,0,5,7,0.59,12.8
150,464,162,1.63,20,2.86,0,20,0,6.72,3,0.28,47.1
100,318.79,159.4,1.63,31.5,3.49,0,35,0,9.57,7,0.32,42.38
150,210,224,1.52,19,5.93,30,0,0,0,365,0.75,39.1
100,200,132,2,10,4.5,0,50,0,5.6,180,0.33,90.5
250,161.2,108,2.57,80,13.4,0,0,0,1.95,28,0.67,16.21
150,109.81,108,2.7,40,11.69,40,0,0,2.2,28,0.59,25.26
100,300,170,1.53,31.5,4.83,0,20,0,6.5,14,0.45,44.8
150,400,120,1.23,16,4.86,0,0,0,22.76,500,0.3,79.2
150,320,240,1.23,16,4.06,0,0,20,1.63,7,0.6,45.7
150,280,175,1.23,16,5.25,0,0,20,2.85,7,0.5,45
150,160,160,1.44,16,4.55,60,0,0,2.4,360,0.4,82.8
150,400,120,1.23,16,4.86,0,0,0,22.76,180,0.3,77
150,315,210,1.23,16,4.99,0,0,10,1.42,7,0.6,31.7
150,340,120,1.23,16,4.86,0,0,15,22.76,180,0.3,91.4
100,120,160,2,10,4.5,0,70,0,0,365,0.4,51.2
200,109.81,108,2.7,40,11.69,40,0,0,2.2,28,0.59,24.28
300,113.49,108,2.57,80,13.32,30,0,0,1.95,28,0.67,15.5
150,382.5,270,1.23,16,3.34,0,0,15,1.1,3,0.6,20.2
150,320,200,1.44,16,4.33,20,0,0,0,3,0.5,22.9
150,300,93,1.86,25,3.57,0,40,0,6,7,0.19,34.9
150,475.3,195,2.23,25,3.57,0,0,0,0,28,0.41,42.7
100,190,185,1.52,31.5,6.93,0,30,0,4.4,7,0.69,12.8
150,81.06,108,2.57,40,13.32,50,0,0,1.95,28,0.67,18.58
150,400,160,1.23,16,4.59,0,0,0,4.88,7,0.4,57.7
150,297.5,175,1.23,16,5.25,0,0,15,2.85,7,0.5,46.5
250,105.34,108,3,80,10.02,50,0,0,2.53,28,0.51,25.06
100,150,178,1.52,31.5,6.19,20,30,0,5,90,0.59,32.8
100,344,172,1.18,12.5,5.47,0,0,0,0.7,28,0.5,47.3
100,200,186,1.43,31.5,7.62,10,10,0,4.1,60,0.74,23
100,251,190,1.5,25,3.5,50,0,0,2,7,0.38,52.7
100,288.4,156.56,1.53,25,4.32,0,30,0,3.708,28,0.38,62.8
150,140,175,1.44,16,5.21,60,0,0,0,3,0.5,16.8
200,64.85,108,2.57,40,13.32,60,0,0,1.95,28,0.67,17.92
100,300,170,1.53,31.5,4.83,0,20,0,6.5,28,0.45,50.2
150,400,165,1.57,20,4.24,0,7,0,4.71,28,0.39,60.4
250,64.85,108,2.57,80,13.32,60,0,0,1.95,28,0.67,15.57
150,297.5,210,1.23,16,4.99,0,0,15,1.42,3,0.6,21.5
100,392,196,1.05,12.5,4.53,0,0,0,0,28,0.5,44.69
150,297.5,210,1.23,16,4.99,0,0,15,1.42,500,0.6,50.5
100,340,175,1.98,31.5,3.46,0,30,0,9,28,0.36,54
150,210,240,1.52,19,3.87,50,0,0,0,14,0.57,26.6
200,126.41,108,3,80,10.02,40,0,0,2.53,28,0.51,27.77
150,197.5,197.5,1.5,20,4.57,30,20,0,0,28,0.5,38.5279
150,400,180,1.5,20,3.27,18,11,0,0,28,0.32,59.0865
200,81.06,108,2.57,80,13.32,50,0,0,1.95,28,0.67,16.81
100,360,144,1.83,25,2.83,0,30,10,12,7,0.24,73.3016
100,480,144,1.83,25,2.83,10,0,10,12,3,0.24,77.9433
100,200,132,2,10,4.5,0,50,0,5.6,365,0.33,94.35
100,360,144,1.83,25,2.83,30,0,10,12,7,0.24,82.7196
100,340,175,1.39,31.5,5.48,0,0,0,5.8,60,0.51,43.4
150,300,225,1.52,19,5.94,0,0,0,0,119,0.75,30.4
200,113.49,108,2.57,80,13.32,30,0,0,1.95,28,0.67,17.4
100,64.85,108,2.57,40,13.32,60,0,0,1.95,28,0.67,18.94
100,105.34,108,3,40,10.02,50,0,0,2.53,28,0.51,31.94
100,151.2,185,1.58,31.5,5.14,37,21,0,4.65,7,0.52,26.2
150,245,225,1.52,19,5.99,18,0,0,0,7,0.76,20.8
150,357,150,1.33,25,5.3,0,0,0,3.57,90,0.42,58.6
150,400,200,1.44,16,4.34,0,0,0,0.4,3,0.5,26.2
100,360,172,1.69,31.5,4.86,0,0,0,8,14,0.48,57.6
150,475.3,218.64,2.23,25,3.44,0,0,0,0,28,0.46,40.96
150,415,224,1.5,20,4.24,0,0,0,0,28,0.54,32
100,235,175,1.61,31.5,5.44,0,30,0,5.6,28,0.52,29.3
150,405,180,1.23,16,3.87,0,0,10,5.49,180,0.4,87.4
150,240,200,1.44,16,4.3,40,0,0,0,90,0.5,57.9
100,462,190,1.5,25,3.5,0,0,8,2,28,0.38,72.45
150,320,120,1.44,16,4.85,20,0,0,14,28,0.3,81.4
150,245,263,1.52,19,2.56,56,0,0,0,365,0.47,60.2
150,80,160,1.44,16,4.53,80,0,0,3.6,7,0.4,38.6
150,320,160,1.44,16,4.59,20,0,0,4,360,0.4,76.4
100,236,172,1.35,12.5,3.75,50,0,0,0.75,7,0.36,38.06
150,175,248,1.52,19,3.49,61,0,0,0,7,0.55,17.1
150,250,219,1.52,19,7.37,0,0,0,0,63,0.88,23.2
100,360,162,1.83,25,2.83,0,30,10,12,28,0.27,93.2328
150,340,160,1.23,16,4.59,0,0,15,4.88,180,0.4,85
100,308.93,185.41,1.88,31.5,2.9,0,43,0,10.81,90,0.34,65.04
200,81.06,108,2.57,80,13.32,50,0,0,1.95,28,0.67,16.81
150,360,225,1.44,16,3.6,20,0,0,0,3,0.5,21.3
150,400,188,1.63,20,4.52,0,0,0,2,3,0.47,33.3
150,175,223,1.52,19,5.99,40,0,0,0,14,0.75,20.2
150,245,225,1.52,19,5.99,18,0,0,0,119,0.76,33
100,200,156,2,10,4.5,0,50,0,0,90,0.39,66.4
150,210,214,1.52,19,9,0,0,0,0,63,1.02,18
100,270,175,1.43,25,4.74,8,21,0,4.56,270,0.46,62.6
150,464,162,1.63,20,2.86,0,20,0,6.72,7,0.28,60.4
150,360,120,1.23,16,4.86,0,0,10,22.76,3,0.3,56
100,215,172,1.28,12.5,4.21,50,0,0,0.75,56,0.4,58.76
150,245,218,1.52,19,7.55,0,0,0,0,7,0.89,16.1
150,270,225,1.44,16,3.58,40,0,0,0,90,0.5,53.4
150,80,120,1.44,16,4.79,80,0,0,4.8,3,0.3,24.5
150,360,188,1.63,20,4.52,0,0,10,2,7,0.47,45.8
300,113.49,108,2.57,40,13.32,30,0,0,1.95,28,0.67,16.52
150,297.5,175,1.23,16,5.25,0,0,15,2.85,500,0.5,68.6
100,400,128,2,10,4.5,0,0,0,0,180,0.32,82.4
150,210,231,1.52,19,4.73,42,0,0,0,63,0.64,40
100,400,136,2,10,4.5,0,0,0,5.6,90,0.34,76.85
200,461.95,194,1.7,20,3.89,0,0,0,0,28,0.42,33.14
200,375,195,1.78,20,4.88,0,0,0,0,28,0.52,40.4
150,70,140,1.44,16,5.46,80,0,0,2.8,3,0.4,18.9
150,450,225,1.23,16,3.6,0,0,0,2.2,7,0.5,50.9
150,350,105,1.23,16,5.78,0,0,0,28.5,3,0.3,43.6
150,450,225,1.23,16,3.6,0,0,0,2.2,28,0.5,50.9
150,175,209,1.52,19,11.05,0,0,0,0,7,1.19,9.2
150,210,105,1.44,16,5.76,40,0,0,8.75,90,0.3,87.8
150,297.5,140,1.23,16,5.52,0,0,15,8.54,180,0.4,93.9
150,280,236,1.52,19,4.15,30,0,0,0,180,0.59,53.8
200,147.48,108,3,80,10.02,30,0,0,2.53,28,0.51,28.18
150,405,180,1.23,16,3.87,0,0,10,5.49,7,0.4,85
150,450,225,1.44,16,3.62,0,0,0,0,3,0.5,25.8
100,270,175,1.43,25,4.74,8,21,0,4.56,270,0.46,57
150,64.85,108,2.57,40,13.32,60,0,0,1.95,28,0.67,18.46
100,420,144,1.83,25,2.83,0,20,10,12,56,0.24,107.66
150,269.231,175,1.69,20,7.44,0,0,0,0,28,0.65,18.21
150,350,175,1.23,16,5.25,0,0,0,2.85,500,0.5,64.5
150,320,120,1.44,16,4.85,20,0,0,14,3,0.3,51.4
100,462,185,2.34,31.5,3.79,0,0,0,0,28,0.4,44.9
150,320,120,1.23,16,4.86,0,0,20,22.76,500,0.3,104.1
150,280,295,1.52,19,1.67,61,0,0,0,365,0.41,62.4
100,385,154,1.33,25,4.7,0,0,0,3.465,180,0.4,83.5
150,160,200,1.44,16,4.28,60,0,0,0,28,0.5,40.1
150,206.1,108,3,40,10.27,0,0,0,2.47,28,0.52,30.71
150,340,200,1.23,16,4.33,0,0,15,3.25,500,0.5,62
